Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,1.29,0.33,-0.18,-0.27,-0.01,0,-0.06,0,-0
Other Operating Activities,-1.38,-0.39,0.1,-0.34,-0.04,-,-0.11,0.16,0
Operating Cash Flow,-0.09,-0.06,-0.08,-0.61,-0.05,0,-0.16,0.16,0
Change in Investments,0,0.01,0,-175.95,0,0,0,0,0
Investing Cash Flow,0,0.01,0,-175.95,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,178.45,0,0,0,0,0
Debt Issued / Paid,0,0,0,-0.44,0.11,0,0.03,0,0.19
Other Financing Activities,-0,0.03,-0.1,-0.22,-0.06,-,0.13,-0.16,-0.19
Financing Cash Flow,-0,0.03,-0.1,177.79,0.05,0,0.16,-0.16,0
Net Cash Flow,-0.09,-0.03,-0.18,1.23,0,0,-0.01,0.01,0
Free Cash Flow,-0.09,-0.06,-0.08,-0.61,-0.05,0,-0.16,0.16,0
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.04,-0.01,-,-0.03,0.03,-
