Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
Net Income,55.8,67.25,32.98,27.09,31.79,48.32,36.63,35.64,32.08,38.18,14.89,30.26,5.09,17.85,12.98,13.77,18.72,4.45,11.94,10.11,7.29,5.92,4.2,8.5,6.28,6.87,7.98,6.06,5.26,4.6,5.94,6.61
Depreciation & Amortization,0,2.72,0,0,0,2.31,0,0,0,1.57,0,0,0,0.68,0,0,0,0.63,0,0,0,0.52,0,0,0,0.64,0,0,0,0.64,0,-
Share-Based Compensation,0,6.68,0,0,0,4.84,0,0,0,3.58,0,0,0,2.74,0,0,0,1.6,0,0,0,0.65,0,0,0,0.49,0,0,0,0.07,0,-
Other Operating Activities,141.8,24.47,145.06,129.64,90.14,49.69,70.31,67.99,59.24,30.18,58.98,42.64,54.6,37.98,34.83,23.72,15.08,18.9,16.04,18.87,14.15,5.76,19.56,16.84,9.17,9.14,12.14,14.25,10.91,14.98,17.94,-6.61
Operating Cash Flow,197.6,101.12,178.05,156.73,121.93,105.16,106.93,103.63,91.32,73.51,73.87,72.9,59.68,59.26,47.81,37.49,33.8,25.57,27.98,28.99,21.44,12.85,23.77,25.34,15.45,17.14,20.12,20.31,16.17,20.29,23.88,-
Operating Cash Flow Growth,62.06%,-3.85%,66.50%,51.24%,33.52%,43.05%,44.75%,42.14%,53.01%,24.06%,54.52%,94.47%,76.56%,131.71%,70.85%,29.33%,57.69%,99.00%,17.75%,14.41%,38.78%,-25.01%,18.10%,24.74%,-4.47%,-15.55%,-15.75%,-,-,-,-,-
Capital Expenditures,-2.66,-2.16,-2.72,-1.32,-0.7,-1.15,-1.82,-1.66,-1.28,-3.71,-8.98,-10.85,-4.27,-7.22,-6.41,-2.07,-3.93,-0.65,-0.16,-0.36,-0.09,-0.08,-0.04,-0.03,-0.03,-0.19,-0.14,-0.11,-0.12,-0.06,-0.08,-
Change in Investments,-187.55,-186.57,-247.03,-133.07,-135.01,-70.72,-140.82,-102.05,-32.44,-73.34,-111.8,-57.21,-109.28,-42.44,-109.79,-57.95,-1,-13.35,-42.2,-4.22,-45.5,-26.56,-20.18,-6.17,10.66,-41.38,-7.71,-23.91,-14.58,-25.91,-14.66,-
Investing Cash Flow,-190.21,-188.72,-249.75,-134.39,-135.71,-71.87,-142.65,-103.71,-33.72,-77.05,-120.78,-68.06,-113.55,-49.66,-116.2,-60.02,-4.92,-14,-42.37,-4.58,-45.6,-26.64,-20.22,-6.2,10.62,-41.57,-7.85,-24.02,-14.7,-25.96,-14.75,-
Dividends Paid,-3.24,-2.99,-2.97,-3.01,-2.96,-2.5,-2.5,-2.53,-2.5,-2.04,-2.03,-2.02,-1.99,-1.77,-1.76,-1.71,-1.7,-1.48,-1.48,-1.48,-1.47,-1.26,-1.26,-1.26,-1.26,-1.05,-1.05,0,0,0,0,-
Share Issuance / Repurchase,0.32,47.69,0.37,0.15,0.38,0.26,0.22,0.16,0.34,1.57,57.66,0.4,0.7,0.77,66.87,0.39,0.6,0.25,0.93,0.08,0.55,0.11,0.97,0,0,0,72.84,0,0,0.09,0,-
Debt Issued / Paid,0,73,79.62,0,0,0,0,0,0,2.4,7,9,7.3,5.5,11.46,-0.28,0,0,0,0,0,0,0,0,-0.01,-27.52,-2.54,-0.03,-0.03,1.94,-0.05,-
Other Financing Activities,-2.1,-0.03,-,-2.74,-0.52,-0.02,-,-2.08,-,-,-,-1.8,-,-,-,-0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Financing Cash Flow,-5.02,117.67,77.03,-5.6,-3.1,-2.26,-2.28,-4.45,-2.16,1.93,62.63,5.58,6.01,4.5,76.56,-2.21,-1.1,-1.23,-0.54,-1.4,-0.93,-1.15,-0.29,-1.26,-1.27,-28.57,69.25,-0.03,-0.03,2.03,-0.05,-
Net Cash Flow,2.37,30.06,5.32,16.73,-16.88,31.03,-37.99,-4.53,55.44,-1.6,15.72,10.42,-47.85,14.1,8.18,-24.74,27.79,10.35,-14.93,23.01,-25.09,-14.94,3.25,17.87,24.8,-53.01,81.52,-3.74,1.44,-3.64,9.09,-
Free Cash Flow,194.94,98.96,175.32,155.41,121.23,104.01,105.11,101.96,90.04,69.8,64.9,62.06,55.42,52.04,41.4,35.41,29.88,24.92,27.82,28.62,21.34,12.78,23.72,25.3,15.42,16.95,19.98,20.2,16.05,20.24,23.8,-
Free Cash Flow Growth,60.81%,-4.86%,66.80%,52.41%,34.64%,49.00%,61.96%,64.31%,62.47%,34.13%,56.76%,75.23%,85.47%,108.81%,48.82%,23.73%,39.99%,95.09%,17.26%,13.11%,38.45%,-24.63%,18.72%,25.29%,-3.93%,-16.26%,-16.04%,-,-,-,-,-
Free Cash Flow Margin,75.87%,40.73%,80.81%,86.84%,67.23%,56.65%,63.75%,66.64%,65.11%,50.10%,52.98%,52.72%,68.97%,56.08%,52.86%,48.80%,41.39%,43.80%,46.26%,52.09%,42.58%,25.18%,49.59%,55.60%,36.11%,42.00%,57.31%,59.97%,49.05%,83.01%,119.99%,-
Free Cash Flow Per Share,8.47,4.32,7.68,6.82,5.33,4.58,4.63,4.50,3.97,3.09,2.90,2.80,2.51,2.36,1.91,1.67,1.41,1.18,1.32,1.36,1.01,0.61,1.13,1.21,0.73,0.46,0.55,1.46,1.16,1.47,1.73,-
