Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.62,2.18,1.4,1.86,5.89,0,0
Share-Based Compensation,0.67,0.66,0.66,0.64,0.46,0,0
Other Operating Activities,-0.17,-2.97,-2.35,-2.73,-7.31,-,-
Operating Cash Flow,-0.12,-0.13,-0.29,-0.22,-0.96,0,0
Share Issuance / Repurchase,0,0,0,0,195.98,0,0
Debt Issued / Paid,0,0,0,0,-0.25,0.05,-0.01
Other Financing Activities,-,-,-,-,8.49,-0.09,-0.04
Financing Cash Flow,0,0,0,0,204.22,-0.04,-0.05
Net Cash Flow,-0.12,-0.13,-0.29,-0.22,1.31,-0.04,-0.05
Free Cash Flow,-0.12,-0.13,-0.29,-0.22,-0.96,0,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.12,-,-
