Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.28,1.84,4.05,7.14,-0.4,-0.26,-0.18
Share-Based Compensation,0.17,0.17,0.17,0.17,0.11,0.26,0.08
Other Operating Activities,-2.64,-2.09,-4.35,-8.16,0.29,-,0.1
Operating Cash Flow,-0.18,-0.08,-0.12,-0.86,-0,0,0
Share Issuance / Repurchase,0,0,0,0,230,0,0
Debt Issued / Paid,0,0,0,-0,0,0,0
Other Financing Activities,-,-0.01,-0.02,-0.65,7.1,-,-
Financing Cash Flow,0,-0.01,-0.02,-0.66,237.1,0,0
Net Cash Flow,-0.18,-0.09,-0.14,-1.51,2.5,0,0
Free Cash Flow,-0.18,-0.08,-0.12,-0.86,-0,0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.03,-,-,-
