Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,1.89,4.18,5.48,6.56,18.63,-6.52,6.26,-9.11,19.13,-0.06
Other Operating Activities,-3.34,-4.36,-5.6,-7.38,-18.87,6.4,-6.42,8.9,-20.22,0.06
Operating Cash Flow,-1.44,-0.18,-0.13,-0.82,-0.24,-0.12,-0.16,-0.21,-1.09,0
Change in Investments,440.86,0,0,0,0,0,0,0,-690,0
Investing Cash Flow,440.86,0,0,0,0,0,0,0,-690,0
Share Issuance / Repurchase,-443.36,0,0,0,0,0,0,0,705.8,0
Debt Issued / Paid,4,0.3,0,0.95,0,0.3,0.15,0.15,-0.23,0
Other Financing Activities,-,-,-,-,-,-,-0.03,-0.08,-14.21,-
Financing Cash Flow,-439.36,0.3,0,0.95,0,0.3,0.12,0.06,691.36,0
Net Cash Flow,0.06,0.12,-0.13,0.13,-0.24,0.18,-0.04,-0.14,0.27,0
Free Cash Flow,-1.44,-0.18,-0.13,-0.82,-0.24,-0.12,-0.16,-0.21,-1.09,0
Free Cash Flow Per Share,-0.03,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.01,-
