Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.07,0.74,0.4,0.56,2.74,-0,-0
Other Operating Activities,-0.07,-0.79,-0.63,-0.71,-3.24,0,0
Operating Cash Flow,-0.14,-0.05,-0.24,-0.16,-0.5,0,-
Change in Investments,58.12,0,0,0,-101.45,0,-
Investing Cash Flow,58.12,0,0,0,-101.45,0,-
Share Issuance / Repurchase,-57.81,0,0,0,103.35,0,-
Debt Issued / Paid,0,0,0,0,0,0.03,-
Other Financing Activities,-,-,-,-,-0.64,0.03,-
Financing Cash Flow,-57.81,0,0,0,102.71,0.06,-
Net Cash Flow,0.17,0.05,-0.24,-0.16,0.76,0.01,-
Free Cash Flow,-0.14,-0.05,-0.24,-0.16,-0.5,0,-
Free Cash Flow Per Share,-0.01,-0.00,-0.02,-0.01,-0.10,-,-
