Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.12,1.32,4.88,0.36,-,0,-0.03
Other Operating Activities,-2.12,-1.29,-5.18,-0.64,-,-0.03,-0.11
Operating Cash Flow,-1.01,0.03,-0.3,-0.28,-,-0.03,-0.13
Change in Investments,184.2,-0.28,0,0,-,0,0
Investing Cash Flow,184.2,-0.28,0,0,-,0,0
Share Issuance / Repurchase,-183.84,0,0,0,-,0,0
Debt Issued / Paid,0.3,0,0,0,-,0.03,0.11
Financing Cash Flow,-183.54,0,0,0,-,0.03,0.11
Net Cash Flow,-0.35,-0.25,-0.23,-0.28,-,-0.01,-0.02
Free Cash Flow,-1.01,0.03,-0.3,-0.28,-,-0.03,-0.13
Free Cash Flow Per Share,-0.04,0.00,-0.01,-0.01,-,-0.01,-0.02
