Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,-0.63,-0.54,-0.85,-0.22,-0.21,-0
Other Operating Activities,0.38,0.29,0.63,0,-0.49,0
Operating Cash Flow,-0.25,-0.25,-0.22,-0.22,-0.71,-0
Change in Investments,216.01,0,0,0,-234.6,0
Investing Cash Flow,216.01,0,0,0,-234.6,0
Share Issuance / Repurchase,-216,0,0,0,236.6,0.03
Debt Issued / Paid,0,0,0,0,-0.08,0.08
Other Financing Activities,-,-,-,-,-0.36,-0.11
Financing Cash Flow,-216,0,0,0,236.16,0
Net Cash Flow,-0.25,-0.15,-0.22,-0.22,0.85,0
Free Cash Flow,-0.25,-0.25,-0.22,-0.22,-0.71,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.05,-
