Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Net Income,-5.39,-19.69,-6.66,2.84,-5.73,-5.24,-5.49,11.11,4.38,-0.3,-2.75,-0.44,-0.55,-1.82,-0.28,-0.45,-0.46,-0.33,-0.59,0.46,-0.01,-2.73,-4.7,-0.79,-0.4,-0.52,-0.91,-0.5,-0.44,-0.02,0,0,0,-1.85,0.75
Depreciation & Amortization,0.83,0.46,0.06,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.04,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0,0,0,0,0,0,0,0,0,-
Share-Based Compensation,0.19,6.73,3.65,3.65,3.65,2.84,0,0,0,0,0,0,0.13,-0,0,0,0,0.01,0.01,0.01,-0,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,-
Other Operating Activities,3.27,5.05,1.43,-6.14,1.53,-0.19,3.75,-9.13,0.57,-0.46,0.37,0.28,0.07,1.53,-0.01,0.04,0.16,0.01,0.11,-0.35,-0.15,2.59,4.38,0.13,-0.42,-0.18,-0.4,-0.31,-0.1,0.54,0.29,0.74,0.69,2.36,-0.75
Operating Cash Flow,-1.09,-7.46,-1.53,0.37,-0.53,-2.57,-1.7,2.01,4.97,-0.73,-2.36,-0.12,-0.32,-0.25,-0.25,-0.39,-0.27,-0.3,-0.46,0.13,-0.14,-0.09,-0.3,-0.62,-0.79,-0.7,-1.31,-0.81,-0.53,0.52,0.29,0.74,0.69,0.52,-
Operating Cash Flow Growth,-,-,-,-81.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.07%,-,-,-,-,-
Capital Expenditures,-1.19,1.82,-2.93,-6.43,-7.12,-14.43,-1.57,-0,0,0,-0,0,0,-0,-0.01,0,0,0,0,0,0,-0,-0,-0,-0,-0.27,0,0,0,-0.04,0,0,0,-0.15,-
Acquisitions,0,-3.75,0,0,0,0,0,0,-5.74,0,0,0,-0.25,-1.5,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,1.65,3.64,-2.41,-1.37,-0.32,-0.01,-1.4,1.68,-1.65,0.1,0.01,1.54,0.06,0.06,0.03,0.14,0.03,-1.43,0.04,0.14,0.06,0.1,0.15,0.08,0.08,0.71,0,0,0,1.22,0,0,0,1.25,-
Other Investing Activities,-,-,-,-,-,0.01,-0,-0,-0.06,-0,-0,0,-0,-,0.02,0,0.06,-0,0.01,0.03,0,0.17,0.13,0.17,0.02,-0.23,0.13,-0.04,0.04,-1.15,0.31,0.33,0.27,-0.97,-
