Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,3.62,-0.25,2.64,5.4,-1.48,5.98,-0.01,-0
Other Operating Activities,-3.85,0.02,-2.84,-5.69,1.24,-6.95,-0,0
Operating Cash Flow,-0.23,-0.23,-0.19,-0.29,-0.23,-0.97,-0.01,-0
Change in Investments,0,0.07,0.2,0.06,0,-250,0,0
Investing Cash Flow,0,0.07,0.2,0.06,0,-250,0,0
Share Issuance / Repurchase,0,0,0,0,0,245,0,0.03
Debt Issued / Paid,0,0,0,0,0,-0.3,0,0.3
Other Financing Activities,-,-,-,-,-,7.25,-0.08,-0.23
Financing Cash Flow,0,0,0,0,0,251.95,-0.08,0.09
Net Cash Flow,-0.23,-0.16,0.01,-0.23,-0.23,0.98,-0.08,0.09
Free Cash Flow,-0.23,-0.23,-0.19,-0.29,-0.23,-0.97,-0.01,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.04,-0.00,-
