Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Net Income,141.75,-297.61,7.83,-29.7,-45.1,-66.08,-34.21,-15.22,-49.48,-107.06,-32.56,-
Depreciation & Amortization,13.18,9.88,7.61,10.43,7.66,6.44,5.65,2.74,2.51,3.65,-,-
Share-Based Compensation,57.86,64.68,52.87,93.56,42.1,82.04,21.77,21.31,32.2,15.41,-,-
Other Operating Activities,-118.5,451.41,-83.73,390.04,73.65,"-1,877.09",-789.39,-59.54,-207.97,-106.29,32.56,-
Operating Cash Flow,94.29,228.35,-15.41,464.33,78.3,"-1,854.68",-796.18,-50.71,-222.74,-194.29,-,-
Operating Cash Flow Growth,20.42%,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-4.6,-8.61,-3.97,-2.74,-4.68,-3.48,-0.53,-0.23,-1.78,-1.35,-,-
Acquisitions,0,0,0,0,-10.35,-5.49,0,-108.99,0,-0,-,-
Change in Investments,0,0,0,10.63,-13.13,-11.21,0,0,0,0,-,-
Other Investing Activities,-41.92,-19.09,-29.61,-35.55,-10.06,-9.89,-9.09,-0.07,-3.42,-1.52,-,-
Investing Cash Flow,-46.52,-27.69,-33.58,-27.66,-38.22,-30.08,-9.62,-109.29,-5.2,-2.86,-,-
Share Issuance / Repurchase,2.02,0.59,0.61,2.02,1.29,"2,590.66",1.26,6.22,0.36,4.01,-,-
Debt Issued / Paid,17.86,104.66,-1.67,322.18,-19.66,-6.41,60.19,-63.63,-5.11,-25.77,-,-
Other Financing Activities,-,-,-,-,244.01,-47.55,-,400,400,-,-,-
Financing Cash Flow,19.87,105.25,-1.05,324.2,225.65,"2,536.7",61.45,342.59,395.24,-21.76,-,-
Net Cash Flow,67.65,305.91,-50.04,760.86,265.73,651.94,-744.36,182.58,167.3,-218.91,-,-
Free Cash Flow,89.7,219.75,-19.38,461.59,73.62,"-1,858.16",-796.72,-50.94,-224.52,-195.64,-,-
Free Cash Flow Growth,21.84%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,5.54%,15.15%,-1.48%,39.88%,8.39%,-292.18%,-165.67%,-15.16%,-91.62%,-96.58%,-,-
Free Cash Flow Per Share,0.02,0.05,-0.00,0.10,0.02,-1.16,-0.56,-0.04,-0.17,-0.15,-,-
