Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.41,0.09,-0.17,-0.05,-0.03,0,0
Other Operating Activities,-0.67,-0.22,-1.04,0.05,0.03,-,-
Operating Cash Flow,-0.27,-0.13,-1.21,0,0,0,0
Change in Investments,0,0.02,0.05,-116.15,0,0,0
Investing Cash Flow,0,0.02,0.05,-116.15,0,0,0
Share Issuance / Repurchase,0,0,0.03,112.7,0,0,0
Other Financing Activities,-,-,-,4.98,-,-,-
Financing Cash Flow,0,0,0.03,117.68,0,0,0
Net Cash Flow,-0.27,-0.11,-1.13,1.53,0,0,0
Free Cash Flow,-0.27,-0.13,-1.21,0,0,0,0
Free Cash Flow Per Share,-0.02,-0.01,-0.08,-,-,-,-
