Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Net Income,7.3,9.58,13.76,9.99,12.27,12.59,12.26,14.28,19.39,17.6,11.89,10.58,4.72,4.31,7.11,4.78,2.07,0.11,5.93,3.1,2.25,1.59,2.84,3.21,2.74,2.94,3.55,-0.68,0.12,1.54,2.24,1.06,0.92
Depreciation & Amortization,1.16,1.19,1.21,1.21,1.21,1.24,1.38,1.35,1.65,1.34,1.46,1.43,1.45,1.55,1.71,1.76,1.72,1.74,0.74,0.73,0.74,0.79,0.76,0.74,0.7,0.66,0.67,0.63,0.69,-1.67,3.11,0.66,0.68
Share-Based Compensation,1.26,1.38,1.56,1.83,1.82,1.87,1.79,1.82,1.47,1.11,1.11,1.73,1.84,2.38,2.25,1.55,1.32,1.57,0.82,1.65,1.65,2.54,0.7,0,0,0.95,0,0,0,0,0,0,0
Other Operating Activities,-0.06,3.46,15.7,-6.62,-0.64,41.38,29.55,93.68,-11.4,-23.19,-16.05,-36.84,-7.13,3.38,-9.15,-77.84,14.98,22.33,31.63,-37.9,24.07,35.95,2.78,-38.49,27.03,30.66,-7.88,-29.3,-7.32,52.85,-7.86,-17.1,-7.08
Operating Cash Flow,9.67,15.61,32.23,6.4,14.66,57.08,44.97,111.13,11.12,-3.15,-1.59,-23.11,0.89,11.61,1.93,-69.75,20.09,25.75,39.11,-32.41,28.71,40.88,7.08,-34.54,30.46,35.2,-3.66,-29.35,-6.5,52.73,-2.51,-15.38,-5.48
Operating Cash Flow Growth,-34.07%,-72.65%,-28.34%,-94.24%,31.85%,-,-,-,1143.62%,-,-,-,-95.55%,-54.91%,-95.08%,-,-30.05%,-37.01%,452.71%,-,-5.75%,16.12%,-,-,-,-33.24%,-,-,-,-,-,-,-
Capital Expenditures,-0.49,-0.93,-0.74,-0.44,-0.16,-1.27,-0.91,-1.9,-2.38,-1.2,-2.61,-1.19,-0.75,-1.19,-0.55,-1.3,-1.4,-2.68,-1.7,-0.76,-0.41,-0.92,-0.86,-0.7,-0.72,-0.77,-0.65,-0.25,-0.46,-0.61,-0.39,-0.23,-0.25
Acquisitions,0,0,0,0.69,0,0,0,0,0,8.54,0,0,0,0,0.1,0,0,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,-18.62,0,0
Change in Investments,-71.18,-357.43,-290.91,-176.72,-125.7,-155.01,-77.5,-5.69,2.03,27.23,-56.86,-305.49,11.78,-98.47,-38.6,-38.36,-11.37,24.11,-34.96,-78.32,-51.05,-78.11,-34.75,-26.74,-96.85,-103.35,-82.95,-67.74,-0.56,-0.06,34.08,-81.11,-15.17
Other Investing Activities,0.11,0.08,0.03,0.1,0.12,0.12,0.59,0.46,0.41,0.85,0.26,0.08,0.52,-39.86,0.79,0.51,0.85,2.51,0.86,0.32,0.17,0.53,0.24,0.92,0.5,0.35,0.65,0.49,0.86,0.17,1.62,0.44,0.57
