Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Net Income,0.61,4.64,5.62,11.15,7.79,1.4,3.58,1.98,2.22,20.21,-0.09,1.13
Depreciation & Amortization,7.4,8.53,6.28,6.26,6.28,8.05,7.55,7.55,7.55,5.94,3.58,-
Share-Based Compensation,7.1,7.12,7.27,2.72,1.52,2.08,1.86,0.57,0.42,0.19,0.19,-
Other Operating Activities,5.67,-2.56,1.61,-4.59,-7.96,-3.21,10.11,-1.97,-0.71,-31.97,5.04,-1.13
Operating Cash Flow,20.78,17.73,20.78,15.55,7.62,8.32,23.1,8.13,9.48,-5.62,8.72,-
Operating Cash Flow Growth,172.59%,113.22%,-10.06%,91.30%,-19.57%,-,164.79%,-,-,-,-,-
Capital Expenditures,-0.49,-0.37,-0.35,-0.42,-0.3,-0.05,-0.04,-0.02,-0.02,-0.02,-0.01,-
Acquisitions,0.02,-96.4,0.3,0.56,0.1,-0.21,-43.88,1.11,0.93,-167.39,0,-
Change in Investments,-0.21,-0.23,-1.19,-0.04,-0.22,-0.28,-2.27,-0.55,-2.09,0,0,-
Other Investing Activities,-0.02,-0.04,-,-,-,-,-0.03,-,-,-,-,-
Investing Cash Flow,-0.7,-97.04,-1.23,0.1,-0.42,-0.54,-46.22,0.54,-1.18,-167.41,-0.01,-
Dividends Paid,-3.48,-3.48,-3.53,-3.52,0,0,0,0,0,0,0,-
Share Issuance / Repurchase,-3.89,-19.12,-3.24,0,0,129.37,0,0,0,0,0,-
Debt Issued / Paid,-5.66,117.98,-17.36,0,-25.01,-115.47,32.03,-2.06,-7.29,153.54,-1.33,-
Other Financing Activities,-0.69,-7.34,-,-12.47,-,-6.28,-0,-0.82,-0.41,15.35,-,-
Financing Cash Flow,-13.71,88.04,-24.12,-15.98,-25.01,7.63,32.03,-2.88,-7.7,168.89,-1.33,-
Net Cash Flow,6.37,8.73,-4.58,-0.33,-17.81,15.41,8.91,5.79,0.59,-4.14,7.39,-
Free Cash Flow,20.28,17.36,20.43,15.13,7.32,8.26,23.06,8.11,9.45,-5.64,8.72,-
Free Cash Flow Growth,176.95%,110.10%,-11.41%,86.49%,-22.53%,-,164.55%,-,-,-,-,-
Free Cash Flow Margin,35.43%,29.76%,40.86%,32.36%,16.92%,18.11%,60.46%,23.86%,28.85%,-22.86%,56.67%,-
Free Cash Flow Per Share,0.17,0.15,0.17,0.13,0.06,0.11,0.37,0.13,0.15,-0.09,0.14,-
