Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.52,2.57,12.7,12.42,-9.38,-0.04,-0.02
Other Operating Activities,-1.71,-2.69,-13.03,-12.55,9.21,-0.43,0.02
Operating Cash Flow,-0.19,-0.12,-0.33,-0.14,-0.17,-0.48,0
Share Issuance / Repurchase,0,2.76,0,0,0,284.52,0
Debt Issued / Paid,0,0,0,0,0,0.05,0.1
Other Financing Activities,-,-,-,-,-0.11,-5.84,-0.06
Financing Cash Flow,0,2.76,0,0,-0.11,278.73,0.04
Net Cash Flow,-0.19,-0.12,-0.33,-0.14,-0.28,2.25,0.04
Free Cash Flow,-0.19,-0.12,-0.33,-0.14,-0.17,-0.48,0
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.00,-0.01,-0.02,-
