Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30
Net Income,-0.08,0.47,-0.09,-0
Other Operating Activities,-0.39,-0.55,-0.42,0
Operating Cash Flow,-0.47,-0.08,-0.51,-
Change in Investments,0.42,0,0,-
Investing Cash Flow,0.42,0,0,-
Share Issuance / Repurchase,0,0,103.98,-
Debt Issued / Paid,-0,-0.01,-0.11,-
Other Financing Activities,0.42,0,-0.26,-
Financing Cash Flow,0.41,-0.01,103.61,-
Net Cash Flow,-0.05,-0.08,0.54,-
Free Cash Flow,-0.47,-0.08,-0.51,-
Free Cash Flow Per Share,-0.04,-0.01,-0.06,-
