Metrics,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-06-30,2021-03-31
Net Income,-143.95,163.76,-3.57,70.32,-58.82,0.66
Other Operating Activities,143.95,-161.27,3.57,-70.32,57.87,-0.66
Operating Cash Flow,-,2.49,-,-,-0.95,-
Share Issuance / Repurchase,-,-82.14,-,-,0,-
Debt Issued / Paid,-,-2.36,-,-,9.96,-
Other Financing Activities,-,-35.86,-,-,-32.02,-
Financing Cash Flow,-,-120.36,-,-,-22.06,-
Net Cash Flow,-,-85.28,-,-,-20.83,-
Free Cash Flow,-,2.49,-,-,-0.95,-
Free Cash Flow Margin,-,-,-,-,-72.66%,-
Free Cash Flow Per Share,-,0.04,-,-,-0.02,-
