Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,-0.08,0.5,1.98,0.34,-2.26,0.28,4.04,1.49,-0.4,2.8,3.27,3.38,-0.16,-0.81,1,0.9,2.47,0.09,0.24,-9.23,0,0,0,0,2.27
Depreciation & Amortization,2.4,-4.96,8.52,2.92,2.64,4.96,-1.24,6.27,1.08,14.69,0.96,0.79,0.75,0.59,0.57,0.51,0.48,1.48,0.35,0.35,0.34,0.26,0.32,0.16,0.14
Share-Based Compensation,6.62,3.29,5.4,5.17,5.79,1.65,1.85,1.85,1.94,1.42,1.42,1.42,0.5,0.39,0.4,0.37,0.37,0.34,0.34,26.27,0,0,0,0,0
Other Operating Activities,-9.57,3.88,7.03,6.82,-11.32,1.75,2.17,2.5,5.26,-9.3,2.88,2.4,-2.56,4.57,3.85,7.1,-1.51,0.99,-0.87,-12.66,2.24,1.21,4.28,5.83,-0.92
Operating Cash Flow,-0.64,2.71,22.93,15.25,-5.15,8.64,6.81,12.1,7.89,9.6,8.53,7.99,-1.48,4.75,5.81,8.88,1.8,2.9,0.07,4.73,2.58,1.47,4.6,5.99,1.49
Operating Cash Flow Growth,-,-68.67%,236.59%,25.96%,-,-10.01%,-20.11%,51.47%,-,102.23%,46.70%,-10.01%,-,63.67%,8704.55%,87.62%,-30.02%,97.89%,-98.56%,-20.96%,72.83%,-,-,-,-
Capital Expenditures,-2.54,4.25,-10.04,-4.32,-2.5,-5.24,-0.87,-7.19,-2.11,-5.29,-0.97,-3.08,-1.03,-0.47,-1.74,-0.58,-1.3,-1.05,-0.4,-0.43,-0.38,-1,-4.48,-0.87,-0.1
Acquisitions,-0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.26,0.03
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.11,-0.22,-0.03
Investing Cash Flow,-2.69,4.26,-10.03,-4.31,-2.49,-5.23,-0.86,-7.19,-2.1,-5.28,-0.96,-3.08,-1.02,-0.47,-1.73,-0.58,-1.3,-1.04,-0.39,-0.42,-0.37,-0.96,-4.25,-0.84,-0.1
Dividends Paid,0,0,0,0,0,0,-60,0,0,0,-42.84,-0.86,-1,0,-0.79,-17.71,-0.25,-0.09,-0.9,-78.52,-0.55,0,0,0.5,-0.5
Share Issuance / Repurchase,0.37,1.3,3.18,1.18,0.47,1,2.51,0.65,0.43,1.08,1.3,2.55,0.12,0.18,0,0.14,0,0.14,-0.12,86.89,0,0,0,0,0
Debt Issued / Paid,-1.25,-26.25,-1.25,-1.25,-0.63,-0.63,41.71,-1,-0.5,-0.5,-0.5,37.25,0.07,-0.75,-0.75,-0.5,-0.5,-1.14,0.13,-0.13,-0.13,9.88,9.9,-0.08,-0.08
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.36,0.27,0.05,0.05,-9.36,-14,-2.53,0.03
Financing Cash Flow,-0.88,-24.95,1.93,-0.07,-0.16,0.38,-15.79,-0.35,-0.07,0.58,-42.03,38.94,-0.82,-0.57,-1.54,-18.07,-0.75,-1.45,-0.63,8.3,-0.63,0.52,-4.1,-2.11,-0.54
Net Cash Flow,-4.21,-17.98,14.82,10.87,-7.8,3.79,-9.84,4.57,5.72,4.9,-34.47,43.86,-3.31,3.71,2.54,-9.76,-0.24,0.41,-0.95,12.61,1.58,1.03,-3.75,3.04,0.85
Free Cash Flow,-3.18,6.96,12.88,10.92,-7.66,3.4,5.94,4.91,5.78,4.32,7.55,4.91,-2.5,4.28,4.07,8.3,0.5,1.86,-0.33,4.31,2.2,0.46,0.12,5.12,1.39
Free Cash Flow Growth,-,104.41%,116.74%,122.44%,-,-21.15%,-21.30%,0.08%,-,0.96%,85.44%,-40.86%,-,130.39%,-,92.60%,-77.33%,301.73%,-,-15.83%,58.18%,-,-,-,-
Free Cash Flow Margin,-5.49%,12.12%,22.33%,20.60%,-18.54%,8.46%,14.26%,12.87%,18.50%,12.46%,23.59%,16.40%,-12.25%,30.99%,19.24%,42.80%,2.15%,12.61%,-2.06%,29.13%,15.06%,4.15%,1.12%,47.05%,14.04%
Free Cash Flow Per Share,-0.14,0.31,0.62,0.53,-0.38,0.17,0.30,0.26,0.31,0.24,0.43,0.30,-0.16,0.28,0.27,0.56,0.04,0.14,-0.02,0.32,0.06,0.03,-,-,-
