Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.6,2.17,0.81,-0.06,-0.49,-0.3,-0.07,-0.01
Other Operating Activities,-2.68,-2.29,-1.06,-0.29,0.54,-1.12,0.02,-0
Operating Cash Flow,-0.08,-0.12,-0.25,-0.35,0.04,-1.42,-0.05,-0.02
Share Issuance / Repurchase,0,0,0,0,0,289.54,0,0
Debt Issued / Paid,0.05,0,0.4,0,0,-0.18,0.17,0.02
Other Financing Activities,-,-,-,0.07,-0.22,-5.93,-0.12,-
Financing Cash Flow,0.05,0,0.4,0.07,-0.22,283.43,0.05,0.02
Net Cash Flow,-0.03,-0.12,0.15,-0.28,-0.17,0.49,0,0
Free Cash Flow,-0.08,-0.12,-0.25,-0.35,0.04,-1.42,-0.05,-0.02
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,0.00,-0.14,-0.01,-0.00
