Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.13,-0.35,6.17,3.8,-2.6,-0,-0.03
Other Operating Activities,-0.17,0.3,-6.31,-4.03,1.76,0.02,0.02
Operating Cash Flow,-0.04,-0.04,-0.14,-0.23,-0.84,0.02,-0.02
Share Issuance / Repurchase,0,0,0,0,230,0,0
Debt Issued / Paid,-0.01,0,0,0,0,0,0.06
Other Financing Activities,-,-,0.02,-0.02,3.64,-0.06,-
Financing Cash Flow,-0.01,0,0.02,-0.02,233.64,-0.06,0.06
Net Cash Flow,-0.05,-0.04,-0.12,-0.25,0.5,-0.04,0.04
Free Cash Flow,-0.04,-0.04,-0.14,-0.23,-0.84,0.02,-0.02
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,-0.08,0.00,-0.00
