Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,0.34,0.38,0.51,0.53,0.47,0.38,0.46,0.4,0.38,0.2,0.26,0.34,0.39,0.2,0.11,0.3,0.36,0.52,0.28,0.3,0.32,0.2,0.24,0.27,0.47
Depreciation & Amortization,0.05,0.04,0.06,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.03
Share-Based Compensation,0.1,0.17,0.09,0.09,0.09,0.16,0.08,0.08,0.1,0.15,0.07,0.07,0.07,0.23,0.03,0.03,0.03,0.04,0.03,0,0,0,0,0,0
Other Operating Activities,0.31,-0.17,0.16,0.02,0.03,-0.03,0.13,0.01,0.1,0.12,-0.06,-0.19,0.26,-0.1,0.16,0.05,0.05,-0.19,1.09,0.1,-0.08,0.05,-0.04,0.12,-0.11
Operating Cash Flow,0.8,0.42,0.82,0.68,0.64,0.56,0.71,0.53,0.61,0.51,0.31,0.26,0.76,0.39,0.33,0.41,0.47,0.4,1.43,0.43,0.27,0.28,0.24,0.42,0.39
Operating Cash Flow Growth,24.41%,-24.14%,14.43%,27.98%,4.07%,8.40%,127.39%,101.14%,-19.00%,31.28%,-3.98%,-35.22%,61.62%,-1.76%,-77.15%,-4.47%,71.17%,42.81%,493.78%,0.24%,-29.74%,-,-,-,-
Capital Expenditures,-0.05,-0.06,-0.16,-0.19,-0.04,-0.08,0.01,-0.02,-0.09,-0.11,0.03,-0.02,-0.04,-0.06,-0.03,-0,0,-0,-0.04,-0.01,-0,-0.02,0,-0.01,-0
Change in Investments,2.64,-0.84,-2.71,-12.34,-22.76,-3.28,-4.76,-8.42,2.56,-21.94,-8.04,-5.04,1.31,-0.45,-3.57,3.97,-0.43,-6.79,-8.82,-4.12,0.61,-4.3,2.19,1.58,0.26
Other Investing Activities,-,0.06,-0,0.2,-0,-0,-,-0,-0,-0,-,-0,-0,-0,-0,-0,-0,0.09,0.02,-0,0.24,0.07,0.1,0.14,0.05
Investing Cash Flow,2.58,-0.84,-2.87,-12.32,-22.8,-3.36,-4.75,-8.44,2.47,-22.06,-8.01,-5.06,1.28,-0.51,-3.6,3.96,-0.43,-6.7,-8.84,-4.13,0.86,-4.24,2.29,1.71,0.31
Dividends Paid,-0.16,-0.16,-0.11,-0.11,-0.11,-0.12,-0.09,-0.09,-0.09,-0.06,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,-0.02,-1.95,-0.14,-0.25,-2.68,-0.08,-0.01,-0.8,-2.36,-1.68,-0.21,-0.19,-0.31,0,0,0,22.37,0,0,0,0,0,0
Debt Issued / Paid,-4,-2,5,16,0,0,0,0,-1,1,0,0,0,0,0,10,0,0,0,-3,3,0,0,0,0
Other Financing Activities,-0.43,4.25,-3.23,-4.61,12.77,1.66,6.16,2.82,12.14,15.61,3.04,7.34,1.17,-0.69,1.38,-2.21,-2.62,-0.07,-38.92,33.47,4.74,0.57,-1.66,-4.03,2.87
Financing Cash Flow,-4.59,2.09,1.64,9.33,12.52,1.3,3.4,2.65,11.04,15.74,0.62,5.6,0.89,-0.94,1,7.73,-2.69,-0.14,-16.55,30.47,7.74,0.57,-1.66,-4.03,2.87
Net Cash Flow,-1.21,1.67,-0.41,-2.32,-9.64,-1.51,-0.64,-5.26,14.12,-5.8,-7.08,0.8,2.93,-1.06,-2.27,12.09,-2.65,-6.44,-23.95,26.76,8.87,-3.39,0.87,-1.89,3.57
Free Cash Flow,0.74,0.36,0.66,0.49,0.6,0.47,0.72,0.51,0.52,0.4,0.35,0.25,0.72,0.33,0.3,0.4,0.47,0.4,1.39,0.42,0.27,0.26,0.24,0.42,0.39
Free Cash Flow Growth,23.71%,-23.84%,-8.58%,-4.70%,14.53%,18.80%,107.76%,108.57%,-27.66%,20.18%,16.39%,-39.21%,54.16%,-16.16%,-78.54%,-3.36%,71.79%,51.72%,473.25%,-0.48%,-29.82%,-,-,-,-
Free Cash Flow Margin,36.11%,15.76%,29.91%,21.23%,29.68%,21.27%,35.44%,25.14%,26.56%,21.52%,19.56%,13.39%,40.50%,17.28%,15.19%,20.31%,23.54%,18.07%,72.48%,23.40%,16.13%,12.38%,14.49%,25.41%,19.72%
Free Cash Flow Per Share,0.26,0.13,0.23,0.17,0.20,0.16,0.24,0.16,0.17,0.13,0.10,0.07,0.20,0.09,0.08,0.11,0.13,0.11,0.39,0.12,0.08,0.07,-,-,-
