Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,1.67,-0.52,3.94,2.17,3.18,7.91,-5.73,1.79,-0
Other Operating Activities,-2.13,0.36,-4.51,-2.93,-3.48,-8.28,5.52,-2.31,-
Operating Cash Flow,-0.46,-0.16,-0.57,-0.76,-0.3,-0.37,-0.21,-0.52,-0
Change in Investments,243.75,0.32,0,0,0,0,0,-275,0
Investing Cash Flow,243.75,0.32,0,0,0,0,0,-275,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,277,0
Debt Issued / Paid,0,0,0,0,1.5,0,0,-0.28,0
Other Financing Activities,-242.86,-,-,-,-,-,-,-0.5,-0.09
Financing Cash Flow,-242.86,0,0,0,1.5,0,0,276.23,-0.09
Net Cash Flow,0.43,0.16,-0.57,-0.76,1.2,-0.37,-0.21,0.71,-0.09
Free Cash Flow,-0.46,-0.16,-0.57,-0.76,-0.3,-0.37,-0.21,-0.52,-0
Free Cash Flow Per Share,-0.02,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.02,-
