Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31
Net Income,1.72,1.7,1.86,1.78,1.79,1.32,1.81,2.32,2.13,1.44,1.87,1.08,-1.3,0.32,-0.2,0.15
Depreciation & Amortization,0.18,0.67,0.27,0.2,-0.8,0.15,0.17,0.17,0.19,1.16,-0.37,-0.13,0.03,0.2,-,0.18
Share-Based Compensation,0.34,0.31,0.36,0.15,0.19,0.19,0.18,0.14,0.17,0.12,0.13,0.18,-0.05,0.14,-,0.03
Other Operating Activities,-0.24,-3.32,-0.14,-0.18,2.73,-2.96,-1.49,1.19,6.18,-0.88,0.73,-1.11,-1.54,0.26,0.2,-1.65
Operating Cash Flow,2,-0.65,2.35,1.96,3.91,-1.3,0.67,3.82,8.67,1.84,2.37,0.02,-2.86,0.91,-,-1.29
Operating Cash Flow Growth,-48.85%,-,250.52%,-48.77%,-54.90%,-,-71.63%,15800.00%,-,102.87%,-,-,-,-,-,-
Capital Expenditures,-0.15,-0.46,-0.25,-0.3,-0.38,-0.25,-0.35,-0.04,-0.19,-0.23,-0.06,-0.01,-0.1,-0.11,-,0.01
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,-22.75,0,-,0
Change in Investments,-29.07,-25.84,-26.32,-23.45,-16.71,-17.15,11.53,23.76,-27.24,33.66,5.15,-115.59,-10.46,0.2,-,-4.87
Other Investing Activities,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-
Investing Cash Flow,-29.21,-26.31,-26.57,-23.75,-17.09,-17.41,11.19,23.72,-27.13,33.43,5.09,-115.6,-33.31,0.08,-,-4.86
Share Issuance / Repurchase,-0.87,-0.42,-0.51,-0.84,-3.94,0,0,-0.01,37.12,0,0,0,0,0,-,-0.42
Debt Issued / Paid,44.98,0.03,-10,10,-38,0,0,10,-85.81,-50.56,-22.35,134.24,25.37,0,-,0
Other Financing Activities,93.67,13.16,19.84,-1.87,13.25,-0.43,3.34,-23.21,-9.7,13.97,0.04,127.45,10.99,9.13,-,2.79
Financing Cash Flow,137.78,12.77,9.33,7.3,-28.69,-0.43,3.34,-13.22,-58.4,-36.59,-22.31,261.69,36.36,9.13,-,2.37
Net Cash Flow,110.56,-14.18,-14.89,-14.5,-41.88,-19.13,15.19,14.32,-76.86,-1.32,-14.85,146.12,0.19,10.12,-,-3.77
Free Cash Flow,1.85,-1.11,2.1,1.66,3.53,-1.56,0.33,3.77,8.48,1.61,2.31,0.01,-2.96,0.8,-,-1.27
Free Cash Flow Growth,-47.53%,-,544.17%,-56.09%,-58.38%,-,-85.86%,31350.00%,-,102.64%,-,-,-,-,-,-
Free Cash Flow Margin,24.87%,-14.13%,26.48%,21.88%,43.58%,-21.79%,4.40%,48.91%,98.33%,23.30%,32.04%,0.20%,-56.53%,22.60%,-,-37.45%
Free Cash Flow Per Share,0.28,-0.17,0.32,0.25,0.52,-0.23,0.05,0.55,1.23,0.23,0.34,0.00,-0.43,0.12,-,-
