Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1,0.54,-0.2,-0.98,-0.46,-0.15,-0,-0.03
Other Operating Activities,-1.13,-0.77,-0.07,0.84,0.35,-0.56,-0,0.03
Operating Cash Flow,-0.13,-0.23,-0.27,-0.14,-0.11,-0.71,-0,-0
Change in Investments,-0.58,0,0,0,0,0,0,0
Investing Cash Flow,-0.58,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,205.3,0,0.03
Debt Issued / Paid,0,3,0,0,0,0,0,0
Other Financing Activities,0.58,-0.05,0.05,-,-,-0.58,-,-
Financing Cash Flow,0.58,2.95,0.05,0,0,204.71,0,0.03
Net Cash Flow,-0.13,-0.28,-0.22,-0.14,-0.11,1,-0,0.02
Free Cash Flow,-0.13,-0.23,-0.27,-0.14,-0.11,-0.71,-0,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.10,-,-
