Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.93,0.54,-0.05,-0.33,-0.42,-0.04
Other Operating Activities,-1.09,-0.6,-0.06,0.23,-0.57,0.04
Operating Cash Flow,-0.17,-0.06,-0.1,-0.11,-0.99,-0
Share Issuance / Repurchase,0,0,0,0,162.43,4.17
Debt Issued / Paid,0,0,0,0,-0.19,0.19
Other Financing Activities,-,-,-,-,7.56,-0.11
Financing Cash Flow,0,0,0,0,169.8,4.24
Net Cash Flow,-0.17,-0.06,-0.1,-0.11,-2.89,4.24
Free Cash Flow,-0.17,-0.06,-0.1,-0.11,-0.99,-0
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.09,-
