Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,10.63,12.72,13.5,11.87,11.25,11.34,11.51,10.99,10.67,4.98,7.17,7.6,7.44,8.57,7.81,8.01,7.02,7.76,6.46,6.75,5.95,3.33,4.68,4.8,4.08
Depreciation & Amortization,0.78,1.15,0.65,0.63,0.63,0.61,0.61,0.59,0.55,0.55,0.28,0.19,0.19,0.35,0.25,0.21,0.21,0.2,0.19,0.18,0.18,0.17,0.19,0.16,0.18
Share-Based Compensation,0.94,0.78,0.88,0.85,0.83,0.66,0.61,0.58,0.57,0.46,0.38,0.42,0.4,0.23,0.18,0.17,0.18,0.21,0.2,0.19,0.2,0.21,0.05,0.05,0.05
Other Operating Activities,-5.56,-11.04,-6.9,25.58,17.56,-3.42,3.22,-5.52,9.49,-0.89,9.4,-5.37,-10.19,-1.52,3.4,2.23,2.26,-0.99,2.98,0.76,-1.82,2.17,1.65,-1.02,4.15
Operating Cash Flow,7.8,4.63,9.14,39.95,31.28,10.37,15.94,6.65,21.28,5.1,17.24,2.84,-2.16,7.62,11.63,10.62,9.66,7.19,9.83,7.88,4.51,5.89,6.56,3.99,8.46
Operating Cash Flow Growth,-75.07%,-55.33%,-42.64%,501.04%,46.97%,103.39%,-7.54%,133.77%,-,-33.14%,48.26%,-73.22%,-,6.08%,18.27%,34.80%,113.98%,21.97%,49.87%,97.59%,-46.67%,-,-,-,-
Capital Expenditures,-0.01,-0.18,-0.3,-0.88,-0.28,-0.21,-0.24,0.53,-0.86,-2.65,-6.11,-8.11,-7.83,-2.22,-7.39,-3.13,-2.83,-1.89,-1.12,-0.49,-0.22,-0.13,-0.14,-0.25,-0.71
Change in Investments,-129.46,-203.64,-240.97,-271.84,-212.75,-142.2,-124.17,-173.27,-106.02,-84.6,-107.19,-208.17,-105.82,-79.08,-81.24,-50.89,-50.76,-74.84,-136.05,-68.75,-71.23,-62.92,-108.11,-86.58,-95.99
Other Investing Activities,-,-,-7.41,-,-,0.17,-0.17,-25,-,-,-,-,0.13,0.23,1.1,-,-,-,0.06,-0,0.3,0.3,1.49,1.45,1.41
Investing Cash Flow,-129.46,-203.81,-248.68,-272.72,-213.03,-142.24,-124.57,-197.74,-106.88,-87.25,-113.29,-216.28,-113.52,-81.08,-87.52,-54.02,-53.59,-76.73,-137.11,-69.24,-71.16,-62.75,-106.76,-85.38,-95.29
Share Issuance / Repurchase,0.25,-0.23,-1.59,-7.92,-1.2,-0.01,-1.95,0.14,-0.2,-6.76,-1.28,0.04,-2.05,0.2,-2.35,-12.56,0,0.11,0,0,58.86,0.06,0.12,0,0
Debt Issued / Paid,250,100.5,141,77,23,-5.06,8.12,0,-11,-70.51,-20.58,-11.63,70.5,-5.5,-1.5,18,-18.5,-5.5,62.5,1.5,-9.5,11.5,29.98,6.5,-31.5
Other Financing Activities,-6.43,110.46,102.11,165.33,88.36,90.91,199.77,82.25,137.02,228.59,30.99,341.92,76.82,21.07,102.97,55.6,82.73,81.85,64.4,61.66,13.69,44.6,72.71,80.2,118.33
Financing Cash Flow,243.81,210.73,241.52,234.41,110.16,85.84,205.93,82.4,125.82,151.32,9.13,330.34,145.27,15.77,99.13,61.04,64.24,76.45,126.9,63.16,63.04,56.16,102.81,86.7,86.83
Net Cash Flow,122.15,11.55,1.98,1.63,-71.59,-46.03,97.31,-108.7,40.22,69.17,-86.92,116.9,29.59,-57.68,23.23,17.64,20.31,6.91,-0.38,1.79,-3.6,-0.7,2.62,5.31,0.01
Free Cash Flow,7.79,4.45,8.85,39.06,31,10.16,15.71,7.17,20.42,2.45,11.14,-5.26,-9.99,5.4,4.24,7.48,6.83,5.3,8.71,7.39,4.29,5.76,6.42,3.74,7.75
Free Cash Flow Growth,-74.87%,-56.16%,-43.68%,444.51%,51.83%,314.99%,41.04%,-,-,-54.69%,162.46%,-,-,2.00%,-51.29%,1.33%,58.97%,-8.01%,35.60%,97.75%,-44.59%,-,-,-,-
Free Cash Flow Margin,26.07%,13.44%,26.03%,125.38%,103.13%,34.68%,54.57%,27.29%,80.70%,11.16%,58.35%,-25.90%,-50.66%,26.43%,22.35%,40.08%,39.77%,30.27%,53.86%,47.70%,29.51%,40.46%,46.39%,29.33%,66.12%
Free Cash Flow Per Share,0.28,0.16,0.32,1.40,1.10,0.36,0.56,0.26,0.73,0.09,0.39,-0.18,-0.34,0.19,0.15,0.25,0.23,0.18,0.32,0.27,0.15,0.20,-,-,-
