Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,0.41,1.11,0.41,0.35,0.25,0.25,0.21,0.28,0.05,-0.55,0.07,0.06,0.01
Depreciation & Amortization,0.07,0.07,0.07,0.07,0.07,0,0.06,0.06,0.06,0.06,0.05,0.05,0.05
Share-Based Compensation,0.13,0.22,0,0,0,0.15,0,0,0,0,0,0,0
Other Operating Activities,-0.07,0.08,1.37,-0.35,-0.34,-0.01,0.77,0.11,-0.58,0.81,-0.51,-0.1,0.22
Operating Cash Flow,0.55,1.47,1.85,0.07,-0.02,0.38,1.03,0.45,-0.48,0.32,-0.39,0.01,0.27
Operating Cash Flow Growth,-,283.33%,79.28%,-84.63%,-,20.75%,-,5512.50%,-,-,-,-,-
Capital Expenditures,-0.34,0.89,-0.06,-0.01,-0.01,0.02,-0.01,-0,-0.02,-0.29,-0.32,-0.08,-0.01
Change in Investments,12.03,-14.96,-4.8,-37.04,-25.83,-22.1,-3.76,-21.95,-15.94,-11.48,2.65,-1.76,-7.4
Other Investing Activities,-,-,-,-,-,-,-,-0.5,-,-1.8,-,-,-
Investing Cash Flow,11.7,-14.07,-4.86,-37.05,-25.84,-22.09,-3.77,-22.45,-15.96,-13.57,2.33,-1.84,-7.41
Share Issuance / Repurchase,-0.5,-0.03,-0.5,0,0,0,-36.93,60.23,0,0,0,0,0
Debt Issued / Paid,0.06,7.23,0.19,4.72,18.82,-0.02,-1.69,1.54,-3.71,-0.21,-2.08,-0.28,-2.91
Other Financing Activities,5.94,-0.13,-19.39,22.9,34.98,2.58,1.91,5.55,9.67,17.25,3.8,22.8,19.53
Financing Cash Flow,5.51,7.06,-19.69,27.62,53.8,2.57,-36.71,67.32,5.96,17.05,1.72,22.52,16.61
Net Cash Flow,17.75,-5.53,-22.7,-9.36,27.93,-19.14,-39.44,45.32,-10.47,3.8,3.67,20.69,9.47
Free Cash Flow,0.21,2.36,1.79,0.06,-0.04,0.4,1.03,0.45,-0.49,0.03,-0.71,-0.07,0.27
Free Cash Flow Growth,-,491.73%,74.20%,-87.22%,-,1187.10%,-,-,-,-,-,-,-
Free Cash Flow Margin,7.00%,65.08%,64.28%,2.34%,-1.57%,16.95%,46.43%,21.72%,-28.21%,1.90%,-39.94%,-4.23%,17.73%
Free Cash Flow Per Share,0.07,0.86,0.64,0.02,-0.01,0.14,0.37,0.18,-0.20,0.01,-,-,-
