Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,-59.47,-186.39,25.65,-26.08,1.34,-28.88,-42.04,104.52,25.74,4.47,12.88,22.07,36.3,30.22,27.39,16.83,37.05,-14.3,-47.02,15.98,23.29,6.41,9.76,16.34,16.64,9.59,15.78
Depreciation & Amortization,9.02,8.34,9.5,8.67,9.81,7.27,7.29,7.44,4.97,4.19,4.36,4.45,4.5,4.45,4.61,4.65,4.92,4.71,4.62,4.47,4.54,4.07,4.79,4.68,4.65,4.66,-
Share-Based Compensation,1.64,4,1.45,4.42,4.09,3.83,4,3.47,2.68,3.01,3.39,3.3,3.2,2.74,2.77,2.64,2.17,2.1,2.09,2.18,1.84,0.65,0.09,0.09,0.13,0.31,-
Other Operating Activities,44.67,162.93,57.92,130.47,68.49,120.24,88.57,-63.02,77.11,82.09,18.32,90.48,108.2,149.44,117.21,147.19,96.36,179.31,150.76,105.41,94.49,394.36,-35.01,-28.26,35.51,228.97,-15.78
Operating Cash Flow,-4.14,-11.12,94.52,117.48,83.73,102.46,57.82,52.4,110.49,93.76,38.95,120.31,152.2,186.84,151.97,171.32,140.5,171.82,110.45,128.04,124.15,405.49,-20.36,-7.15,56.93,243.53,-
Operating Cash Flow Growth,-,-,63.49%,124.18%,-24.22%,9.28%,48.45%,-56.44%,-27.40%,-49.82%,-74.37%,-29.77%,8.33%,8.74%,37.60%,33.81%,13.16%,-57.63%,-,-,118.10%,66.51%,-,-,-,-,-
Capital Expenditures,-10.03,-10.55,-13.02,-10.87,-11.38,-8.72,-7.76,-4.38,-2.79,-3.52,-2.68,-1.02,-3.7,-5.31,-2.5,-3.05,-3.12,-6,-5.07,-1.42,-1.54,-0.8,-1.09,-3.74,-3.09,-6.29,-
Acquisitions,-2.03,0,157.97,0,0,-366.54,0,146.88,-91.2,-1.57,-11.19,-0.02,-14.4,0,-3.8,-2.8,-1.57,0,0,0,-0.96,-0.63,0,-4.98,0,0,-
Change in Investments,19.06,-138.11,-288.75,-286.95,-176.3,-264.83,-181.94,-72.58,-69.63,-102.07,-83.07,28.58,-60.4,-133.76,-157.15,-152.25,-64.95,-165.53,-217.8,-138.28,-56.35,-402.77,0,0,0,-281.65,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-14.21,-3.41,-10.13,-10.57,-3.78,-12.4,1.08,2.56,-6.99,-5.93,-
Investing Cash Flow,7.01,-148.66,-143.8,-297.82,-187.67,-640.09,-189.7,69.92,-163.62,-107.16,-96.93,27.54,-78.5,-139.07,-163.46,-158.1,-83.85,-174.94,-233,-150.27,-62.64,-416.6,-0.01,-6.15,-10.09,-293.86,-
Dividends Paid,-0.33,-0.02,-4.47,-4.44,-4.79,-4.44,-4.55,-4.58,-2.37,-2.34,-2.25,-2.3,-2.2,0,0,0,0,0,0,0,0,-145.5,-8.5,-28,0,0,-
Share Issuance / Repurchase,-0.78,0.94,-0.06,-0.59,-15.82,-31.33,-16.02,-1.1,-1.62,-0.67,-0,-0.02,-6.4,-22,-50.46,-1.74,0,-2.17,-0.51,-0.67,13.14,81.12,0,0,0,0,-
Debt Issued / Paid,10.2,132.5,98.25,168.62,130.93,460.35,79.19,13.84,3.92,14.07,-3.6,7.14,5.9,-17.48,37.15,-2.18,-41.27,-69.18,171.62,-6.04,-87.09,143.25,8.66,7.67,-95.39,67.43,-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.3,-9.3,-,-,-,-,-,-
Financing Cash Flow,9.09,133.41,93.73,163.6,110.32,424.58,58.62,8.15,-0.07,11.06,-5.86,4.82,-2.7,-39.48,-13.31,-3.92,-41.27,-71.36,171.11,2.59,-83.26,78.86,0.16,-20.33,-95.39,67.43,-
Net Cash Flow,12.54,-24.03,36.69,-17.31,8.25,-109.88,-73.71,129.87,-52.31,-1.49,-63.02,152.4,70.2,9.06,-25.05,8.83,17.32,-77.74,48.67,-19.46,-26.1,71.12,-18.24,-32.02,-47.72,14.17,-
Free Cash Flow,-14.17,-21.68,81.5,106.6,72.36,93.74,50.06,48.02,107.7,90.24,36.27,119.29,148.5,181.53,149.47,168.28,137.38,165.82,105.38,126.62,122.61,404.69,-21.45,-10.89,53.83,237.24,-
Free Cash Flow Growth,-,-,62.81%,121.98%,-32.82%,3.88%,38.02%,-59.74%,-27.47%,-50.29%,-75.74%,-29.11%,8.10%,9.47%,41.84%,32.90%,12.04%,-59.03%,-,-,127.77%,70.58%,-,-,-,-,-
Free Cash Flow Margin,-9.67%,-17.72%,60.05%,60.96%,37.56%,71.73%,36.13%,33.69%,67.14%,68.24%,28.50%,90.50%,88.76%,105.54%,86.20%,110.50%,78.25%,105.68%,74.32%,83.95%,70.48%,286.10%,-13.77%,-7.19%,33.06%,171.45%,-
Free Cash Flow Per Share,-0.35,-0.53,2.01,2.64,1.79,2.33,1.21,1.15,2.60,2.20,0.89,2.92,3.64,4.38,3.37,3.62,2.96,3.59,2.30,2.77,2.69,10.20,-0.57,-0.29,1.42,6.26,-
