Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,-11.94,-0.28,11.7,8.37,21.93,16.95,25.25,8.26,47.99,"1,371.79","1,450.88",539.49,20.35,-0.02,-0.02
Depreciation & Amortization,12.65,12.95,12.42,12.12,11.91,11.26,9.7,9.08,7.98,3.32,6.63,3.89,3.33,0,0
Share-Based Compensation,2.48,2.06,1.99,1.68,1.83,2.01,2.13,2.33,0,0,0,0,0,0,0
Other Operating Activities,"1,989.73","-2,559.37",-573.98,-413.23,"11,716.1","-6,233.33",555.03,"-7,002.65","2,581.05","-2,708.86",153.46,-128.1,-659.77,-0.07,-0.06
Operating Cash Flow,"1,992.92","-2,544.64",-547.88,-391.06,"11,751.76","-6,203.1",592.1,"-6,982.97","2,637.02","-1,333.75","1,610.97",415.28,-636.09,-0.09,-0.09
Operating Cash Flow Growth,-83.04%,-,-,-,345.65%,-,-63.25%,-,-,-,-,-,-,-,-
Capital Expenditures,-7.95,-5.87,-5.38,-9.26,-6.1,-13.11,-20,-22.46,-9.82,-53.62,22.18,-12.05,-13.79,0,0
Change in Investments,652.32,151.64,347.36,201.35,616.6,23.3,239.13,0.13,2.58,71.38,-45.4,16.94,246.25,0,0
Investing Cash Flow,644.37,145.77,341.99,192.09,610.5,10.18,219.13,-22.33,-7.23,17.77,-23.23,4.89,232.46,0,0
Dividends Paid,-9.26,-9.26,-9.25,-9.25,-9.17,-10.09,-10.24,-10.31,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,-60.63,-15.28,-5.72,895.13,0,0,0,0,0.03,0
Debt Issued / Paid,"-2,441.35","2,463.17",206.73,415.91,"-11,882.56","6,043.81",-732.77,"6,692.56","-2,041.92","2,808.64",-506.51,-152.31,326.73,-0.03,0.18
Other Financing Activities,-151.51,-149.68,-150.71,-150.21,-300.44,0.01,-150.21,-215.71,"-1,114.17","-1,024.62",-896.67,247.17,-0.18,-,-
Financing Cash Flow,"-2,602.13","2,304.23",46.77,256.45,"-12,192.18","5,973.1",-908.5,"6,460.82","-2,260.96","1,784.02","-1,403.18",94.86,326.56,0,0.18
Net Cash Flow,35.17,-94.64,-159.12,57.48,170.09,-219.82,-97.27,-544.49,368.83,468.04,184.56,515.03,-77.08,-0.09,0.09
Free Cash Flow,"1,984.97","-2,550.51",-553.26,-400.32,"11,745.66","-6,216.22",572.1,"-7,005.43","2,627.2","-1,387.37","1,633.14",403.23,-649.88,-0.09,-0.09
Free Cash Flow Growth,-83.10%,-,-,-,347.08%,-,-64.97%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,1230.81%,-843.33%,-80.87%,-70.95%,1429.27%,-1026.70%,82.88%,-1445.46%,220.80%,-76.30%,89.04%,48.54%,-142.69%,-,-
Free Cash Flow Per Share,21.36,-27.55,-5.98,-4.33,127.37,-64.23,5.66,-68.17,25.48,-26.11,31.11,7.68,-12.23,-0.01,-0.01
