Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.44,-0.03,0,0,0,0
Other Operating Activities,-0.52,-0.09,-,-,0.13,-0.13
Operating Cash Flow,-0.08,-0.12,0,0,0.13,-0.13
Share Issuance / Repurchase,0,76.95,0,0,0,0
Debt Issued / Paid,0,-0.16,0,0,0,0.01
Other Financing Activities,-,-0.42,-0,-,-0.13,0.1
Financing Cash Flow,0,76.37,-0,0,-0.13,0.11
Net Cash Flow,-0.08,0.48,-0,0,0,-0.02
Free Cash Flow,-0.08,-0.12,0,0,0.13,-0.13
Free Cash Flow Per Share,-0.02,-0.02,-,-,0.07,-0.07
