Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,4.34,13.88,17.29,15.8,24.08,-5.03,29.53,-21.18,-7.65
Other Operating Activities,-5.22,-14.24,-17.69,-16.06,-24.37,4.58,-29.78,20.65,5.63
Operating Cash Flow,-0.89,-0.35,-0.39,-0.26,-0.29,-0.45,-0.25,-0.53,-2.02
Change in Investments,0,1.38,0,0,0,0,0,0,"-1,380"
Investing Cash Flow,0,1.38,0,0,0,0,0,0,"-1,380"
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,"1,355.5"
Other Financing Activities,-,-,-,-,-,-,-,-0.01,31.88
Financing Cash Flow,0,0,0,0,0,0,0,-0.01,"1,387.38"
Net Cash Flow,-0.89,1.03,-0.39,-0.26,-0.29,-0.45,-0.25,-0.54,5.36
Free Cash Flow,-0.89,-0.35,-0.39,-0.26,-0.29,-0.45,-0.25,-0.53,-2.02
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.02
