Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,-1.21,0.56,1.24,0.04,0.55,-19.62,-14.97,-1,-0.75,-1.76,-1.67,-16.74,-11.33
Depreciation & Amortization,0.66,0.69,0.69,0.65,0.63,0.7,0.62,0.43,0.6,0.51,0.39,0.51,0.51
Share-Based Compensation,0.94,0.82,0.39,0.28,0.32,0.72,0.55,0,0,0,0,0,0
Other Operating Activities,-4.82,-0.76,1.59,-3.05,-1.87,7.73,13.69,-4.76,1.92,2.24,1.08,13.8,11.21
Operating Cash Flow,-4.42,1.31,3.91,-2.08,-0.37,-10.47,-0.11,-5.33,1.77,0.99,-0.2,-2.43,0.39
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,352.69%,-,-,-,-
Capital Expenditures,-1.68,-0.52,-1,-3.2,-0.64,-2.21,-2.38,-3.79,-3.52,-4.21,-1.08,-0.99,-1.01
Change in Investments,-36.83,-44.84,-53.5,-75.41,-127.12,-42.94,-38.59,29.15,-47.09,50.07,105.04,12.46,-59.17
Other Investing Activities,0.58,-,-,-,-,6.03,-,-,-,0.01,-,0.28,-
Investing Cash Flow,-37.93,-45.36,-54.5,-78.62,-127.76,-39.11,-40.97,25.36,-50.61,45.87,103.96,11.75,-60.18
Share Issuance / Repurchase,-9.32,-7.83,-7.52,0,0,0,250.78,0,0,0,0,0,0
Debt Issued / Paid,112.39,13.38,90.8,20.29,0.26,-62.68,-68.05,-9.31,-5.12,-11.12,-23.26,-10.43,75.94
Other Financing Activities,-44.28,22.37,-30.18,13.65,35.98,-18.58,-742.45,622.24,29.64,32.6,-19.34,39.61,8.26
Financing Cash Flow,58.79,27.91,53.11,33.94,36.24,-81.26,-559.72,612.93,24.53,21.48,-42.59,29.18,84.21
Net Cash Flow,16.44,-16.14,2.52,-46.76,-91.88,-130.85,-600.8,632.96,-24.31,68.33,61.17,38.5,24.42
Free Cash Flow,-6.1,0.79,2.91,-5.28,-1,-12.68,-2.49,-9.13,-1.75,-3.22,-1.28,-3.42,-0.62
Free Cash Flow Margin,-49.00%,5.80%,19.34%,-40.42%,-7.25%,-91.48%,-20.87%,-82.38%,-15.79%,-31.50%,-12.50%,-35.95%,-7.99%
Free Cash Flow Per Share,-0.24,0.03,0.11,-0.20,-0.04,-1.04,-0.11,-0.42,-0.08,-0.15,-,-,-
