Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.02,0.66,0.09,-0.1,-0.07,0,-0
Other Operating Activities,-1.47,-0.8,-0.31,-0.46,0.17,-0,0
Operating Cash Flow,-0.46,-0.14,-0.22,-0.56,0.1,-0,0
Share Issuance / Repurchase,0,0,0,0,293.61,0,0.03
Debt Issued / Paid,0,0,-0.09,-0.06,-0.1,0.1,0
Other Financing Activities,-,-,-,-,-0.28,-0.1,-
Financing Cash Flow,0,0,-0.09,-0.06,293.23,0,0.03
Net Cash Flow,-0.46,-0.14,-0.31,-0.61,1.51,0,0.03
Free Cash Flow,-0.46,-0.14,-0.22,-0.56,0.1,-0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,0.01,-,-
