Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.45,0.42,0.13,0.49,-0.18,-0,-0,-0
Other Operating Activities,-1.1,-0.5,-0.2,-1,0.07,0,0,-
Operating Cash Flow,-0.65,-0.07,-0.07,-0.5,-0.12,-0,-0,-0
Change in Investments,0.42,0,0,0,-102,0,0,0
Investing Cash Flow,0.42,0,0,0,-102,0,0,0
Share Issuance / Repurchase,0,0,0,0,100,0,0,0
Debt Issued / Paid,0,0,0,0,-0.04,0.01,0.03,0
Other Financing Activities,-,-,-,-,3.32,-0.02,-0.03,-0.02
Financing Cash Flow,0,0,0,0,103.29,-0.01,-0,-0.02
Net Cash Flow,-0.23,-0.07,-0.07,-0.5,1.17,-0.01,-0,-0.02
Free Cash Flow,-0.65,-0.07,-0.07,-0.5,-0.12,-0,-0,-0
Free Cash Flow Per Share,-0.05,-0.01,-0.01,-0.04,-0.02,-,-,-
