Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-0.16,0.84,0.92,1.65,-0.11,1.48,-0.1,0.83,-4.19
Other Operating Activities,-0.32,-1,-1.41,-1.85,-0.11,-1.68,-0.09,-0.96,4.04
Operating Cash Flow,-0.48,-0.15,-0.5,-0.2,-0.22,-0.21,-0.19,-0.13,-0.15
Change in Investments,-0.24,29.05,57.22,-1.26,-1.26,0,0,0,0
Investing Cash Flow,-0.24,29.05,57.22,-1.26,-1.26,0,0,0,0
Share Issuance / Repurchase,0,-29.23,-57.55,0,0,0,0,0,123.66
Debt Issued / Paid,0.64,0.36,0.8,1.26,1.26,0,0,0,-0.05
Other Financing Activities,-,-,-,-,-,-,-,-,5.01
Financing Cash Flow,0.64,-28.87,-56.75,1.26,1.26,0,0,0,128.62
Net Cash Flow,-0.08,0.03,-0.02,-0.2,-0.22,-0.21,-0.19,-0.13,1.02
Free Cash Flow,-0.48,-0.15,-0.5,-0.2,-0.22,-0.21,-0.19,-0.13,-0.15
Free Cash Flow Per Share,-0.04,-0.02,-0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02
