Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2009
Market Capitalization,"7,645","7,302","16,494","13,332","11,615","9,360","12,894","8,970","8,980","11,333",-,Upgrade
Market Cap Growth,-,-55.73%,23.72%,14.78%,24.09%,-27.41%,43.75%,-0.11%,-20.77%,-,-,Upgrade
Enterprise Value,"19,697","21,892","28,461","21,853","47,618","59,003","64,281","69,837","76,935","79,199","72,479",Upgrade
PE Ratio,6.13,4.55,5.49,12.29,6.77,7.41,13.88,8.41,6.97,9.86,-,Upgrade
PS Ratio,0.90,0.87,2.01,1.99,1.82,1.61,2.24,1.65,1.85,2.44,-,Upgrade
PB Ratio,0.56,0.57,0.97,0.91,0.81,0.71,0.96,0.67,0.67,0.74,-,Upgrade
P/FCF Ratio,1.25,1.17,4.08,3.57,2.87,2.26,3.16,1.96,1.76,3.33,-,Upgrade
P/OCF Ratio,1.25,1.17,4.08,3.57,2.87,2.26,3.16,1.96,1.76,3.33,-,Upgrade
EV/Sales Ratio,2.35,2.60,3.47,3.27,7.45,10.17,11.15,12.84,15.83,17.03,17.00,Upgrade
EV/EBITDA Ratio,6.40,6.15,5.63,7.38,13.54,18.04,19.08,17.82,16.78,17.97,22.89,Upgrade
EV/EBIT Ratio,11.12,9.81,7.50,15.47,24.28,36.38,42.57,45.44,43.10,53.84,240.00,Upgrade
EV/FCF Ratio,3.26,3.50,7.04,5.84,11.76,14.22,15.76,15.29,15.05,23.27,28.98,Upgrade
Debt / Equity Ratio,1.64,1.57,1.00,1.64,2.74,4.08,4.12,5.02,5.53,4.77,5.49,Upgrade
Debt / EBITDA Ratio,7.13,5.67,3.37,8.15,11.25,16.56,16.51,17.05,16.21,16.66,24.64,Upgrade
Debt / FCF Ratio,3.63,3.23,4.21,6.46,9.77,13.06,13.64,14.63,14.54,21.58,31.19,Upgrade
Asset Turnover,0.04,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),9.60%,11.70%,18.10%,7.70%,12.10%,9.60%,6.90%,7.80%,8.80%,7.70%,2.00%,Upgrade
Return on Assets (ROA),0.70%,0.90%,1.70%,0.60%,0.90%,0.70%,0.60%,0.70%,0.80%,0.80%,0.20%,Upgrade
Return on Capital (ROIC),0.90%,1.10%,2.00%,0.70%,0.90%,0.70%,0.70%,0.70%,0.80%,0.70%,0.10%,Upgrade
Earnings Yield,16.81%,21.97%,18.21%,8.14%,14.77%,13.49%,7.20%,11.90%,14.35%,10.15%,-,Upgrade
FCF Yield,80.06%,85.55%,24.51%,28.05%,34.87%,44.34%,31.63%,50.92%,56.92%,30.03%,-,Upgrade
Dividend Yield,4.72%,5.24%,1.95%,2.15%,2.31%,2.47%,1.37%,0.84%,-,-,-,Upgrade
Payout Ratio,29.20%,23.70%,10.60%,26.30%,15.60%,18.90%,19.50%,7.40%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,10.17%,12.75%,3.16%,4.63%,4.80%,6.58%,6.24%,2.11%,-0.40%,-14.20%,-1.83%,Upgrade
Total Shareholder Return,14.96%,17.98%,5.11%,6.78%,7.12%,9.05%,7.61%,2.95%,-0.40%,-14.20%,-1.83%,Upgrade
