Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,248,332,354,245,364,336,322,283,188,163,134,Upgrade
Market Cap Growth,-,-6.30%,44.38%,-32.59%,8.32%,4.29%,13.83%,50.43%,15.15%,21.96%,-2.41%,Upgrade
Enterprise Value,473,480,-216,91,369,339,241,370,283,196,195,Upgrade
PE Ratio,5.90,9.73,7.28,9.90,13.01,10.62,19.13,17.66,14.98,16.53,18.35,Upgrade
PS Ratio,1.81,2.67,2.78,2.61,3.73,3.31,4.26,4.02,3.07,2.87,3.03,Upgrade
PB Ratio,0.71,1.00,1.00,0.76,1.15,1.10,1.16,1.57,1.14,1.06,0.94,Upgrade
P/FCF Ratio,4.29,6.82,6.59,5.23,9.05,7.77,13.60,13.65,5.03,6.62,6.71,Upgrade
P/OCF Ratio,4.11,6.48,6.35,5.00,8.27,7.12,13.00,13.80,5.20,5.85,6.29,Upgrade
EV/Sales Ratio,3.51,3.85,-1.70,0.97,3.79,3.34,3.19,5.26,4.62,3.46,4.41,Upgrade
EV/EBITDA Ratio,8.63,10.43,-3.41,2.69,10.07,8.32,7.70,14.59,13.47,11.68,15.68,Upgrade
EV/EBIT Ratio,9.24,11.28,-3.58,2.96,10.93,8.86,8.21,15.70,14.73,13.03,17.70,Upgrade
EV/FCF Ratio,8.30,9.87,-4.03,1.94,9.20,7.86,10.18,17.87,7.58,7.97,9.80,Upgrade
Debt / Equity Ratio,0.97,0.71,0.09,0.11,0.15,0.21,0.26,0.66,0.76,0.44,0.68,Upgrade
Debt / EBITDA Ratio,6.14,5.13,0.50,1.01,1.26,1.57,2.30,4.67,5.95,4.04,7.79,Upgrade
Debt / FCF Ratio,5.90,4.85,0.59,0.73,1.15,1.49,3.04,5.72,3.35,2.75,4.87,Upgrade
Asset Turnover,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.05,Upgrade
Return on Equity (ROE),12.40%,10.40%,14.30%,7.90%,8.90%,10.80%,8.00%,9.10%,7.80%,6.60%,5.20%,Upgrade
Return on Assets (ROA),1.30%,1.00%,1.70%,1.00%,1.30%,1.50%,1.00%,1.00%,0.90%,0.80%,0.70%,Upgrade
Return on Capital (ROIC),1.60%,1.40%,2.60%,1.30%,1.60%,1.80%,1.70%,1.40%,1.30%,1.20%,1.10%,Upgrade
Earnings Yield,16.78%,10.28%,13.74%,10.11%,7.68%,9.41%,5.23%,5.66%,6.68%,6.05%,5.45%,Upgrade
FCF Yield,23.33%,14.65%,15.17%,19.13%,11.05%,12.86%,7.35%,7.33%,19.88%,15.11%,14.89%,Upgrade
Dividend Yield,3.28%,2.32%,2.19%,3.14%,2.14%,2.01%,1.27%,1.06%,1.15%,0.31%,-,Upgrade
Payout Ratio,18.80%,22.20%,15.70%,30.80%,27.30%,20.40%,23.30%,17.50%,16.00%,4.60%,0.00%,Upgrade
Buyback Yield / Dilution,2.25%,2.84%,2.65%,5.61%,2.16%,-27.32%,-1.69%,-1.22%,-1.68%,-0.22%,5.52%,Upgrade
Total Shareholder Return,5.52%,5.16%,4.84%,8.75%,4.30%,-25.32%,-0.41%,-0.16%,-0.52%,0.09%,5.52%,Upgrade
