Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,842,"1,943","5,330","4,259","1,309",851,879,454,276,193,-,Upgrade
Market Cap Growth,-,-63.54%,25.14%,225.34%,53.86%,-3.23%,93.66%,64.49%,43.32%,-,-,Upgrade
Enterprise Value,668,"1,771","5,103","4,023","1,235",781,825,405,233,132,-8,Upgrade
PE Ratio,-29.03,-43.50,-150.01,-729.30,-723.68,-917.88,-585.01,-65.84,-16.04,-9.09,-,Upgrade
PS Ratio,0.87,2.15,7.63,8.48,3.41,2.80,3.62,2.41,1.88,1.66,-,Upgrade
PB Ratio,2.81,6.37,16.04,12.53,9.57,6.59,18.15,10.15,6.09,3.25,-,Upgrade
P/FCF Ratio,-58.66,-77.46,-1088.38,302.21,121.40,-19.23,134.55,148.13,-18.02,-11.72,-,Upgrade
P/OCF Ratio,-156.08,-242.90,714.64,197.69,81.03,67.10,90.96,90.70,-26.48,-17.83,-,Upgrade
EV/Sales Ratio,0.70,1.96,7.30,8.01,3.22,2.57,3.40,2.15,1.58,1.14,-0.09,Upgrade
EV/EBITDA Ratio,-37.82,-61.06,-219.53,1476.35,231.21,163.57,291.00,-144.95,-16.36,-10.33,1.17,Upgrade
EV/EBIT Ratio,-29.79,-44.36,-144.93,-925.69,-4243.70,2959.18,-589.91,-60.99,-13.88,-9.13,1.04,Upgrade
EV/FCF Ratio,-53.35,-70.60,-1042.05,285.46,114.51,-17.65,126.20,132.13,-15.19,-8.03,3.18,Upgrade
Debt / Equity Ratio,0.35,0.23,-,-,0.19,0.10,0.19,0.11,-,0.25,-0.79,Upgrade
Debt / EBITDA Ratio,-2.46,-2.39,-,-,4.88,2.69,3.29,-1.71,-,-1.17,-3.86,Upgrade
Debt / FCF Ratio,-3.47,-2.77,-,-,2.42,-0.29,1.43,1.56,-,-0.91,-10.46,Upgrade
Current Ratio,1.64,1.62,1.75,2.24,1.73,1.87,1.89,2.15,2.27,3.76,1.53,Upgrade
Asset Turnover,1.43,1.40,1.30,1.46,1.61,1.69,2.48,2.46,1.99,1.56,2.11,Upgrade
Return on Equity (ROE),-19.90%,-14.20%,-10.70%,-3.10%,-1.40%,-0.90%,-3.20%,-15.40%,-34.50%,-189.50%,27.20%,Upgrade
Return on Assets (ROA),-9.10%,-6.90%,-6.60%,-1.70%,-0.80%,-0.50%,-1.50%,-9.00%,-23.30%,-28.60%,-20.60%,Upgrade
Return on Capital (ROIC),-18.90%,-14.60%,-21.50%,-2.80%,-0.20%,0.30%,-4.20%,-24.30%,-75.50%,-47.50%,-32.60%,Upgrade
Earnings Yield,-7.32%,-2.30%,-0.67%,-0.14%,-0.14%,-0.11%,-0.17%,-1.52%,-6.23%,-11.00%,-,Upgrade
FCF Yield,-3.62%,-1.29%,-0.09%,0.33%,0.82%,-5.20%,0.74%,0.68%,-5.55%,-8.53%,-,Upgrade
Buyback Yield / Dilution,-1.30%,-1.56%,-11.93%,-3.50%,-8.40%,-8.02%,-3.72%,-3.22%,-113.68%,-885.85%,-57.19%,Upgrade
Total Shareholder Return,-1.30%,-1.56%,-11.93%,-3.50%,-8.40%,-8.02%,-3.72%,-3.22%,-113.68%,-885.85%,-57.19%,Upgrade
