Year,Current,2022
Market Capitalization,93,88
Enterprise Value,94,88
PE Ratio,-1169.97,-245.80
PB Ratio,-25.08,-34.05
P/FCF Ratio,-226.12,-182.32
P/OCF Ratio,-226.12,-182.32
EV/EBITDA Ratio,1313.35,-284.07
EV/EBIT Ratio,1313.35,-284.07
EV/FCF Ratio,-227.56,-181.96
Debt / Equity Ratio,-0.21,-
Debt / EBITDA Ratio,10.35,-
Debt / FCF Ratio,-1.86,-
Current Ratio,0.15,0.96
Return on Equity (ROE),2.80%,15.40%
Return on Assets (ROA),-0.10%,-0.50%
Return on Capital (ROIC),0.10%,-0.40%
Earnings Yield,-0.08%,-0.41%
FCF Yield,-0.43%,-0.55%
Buyback Yield / Dilution,-87.51%,-
Total Shareholder Return,-87.51%,-
