Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,"4,291","3,896","7,154","5,898","4,584","4,116","7,668"
Market Cap Growth,-,-45.54%,21.31%,28.65%,11.38%,-46.32%,-
Enterprise Value,"2,896","2,431","5,644","4,620","2,925","2,944","6,552"
PE Ratio,12.19,10.46,11.54,45.26,10.72,7.86,11.70
PS Ratio,2.07,1.77,2.59,2.57,2.09,1.78,4.22
PB Ratio,0.98,0.89,1.55,1.25,0.94,0.85,1.59
P/FCF Ratio,10.60,8.55,8.08,9.39,10.78,6.41,17.98
P/OCF Ratio,10.18,8.23,7.99,9.13,9.90,6.14,17.27
EV/Sales Ratio,1.39,1.10,2.04,2.01,1.33,1.28,3.60
EV/EBITDA Ratio,5.90,4.70,6.42,18.89,4.55,3.85,12.87
EV/EBIT Ratio,6.26,5.00,6.73,23.64,5.04,4.20,14.36
EV/FCF Ratio,7.14,5.34,6.38,7.36,6.88,4.59,15.37
Debt / Equity Ratio,0.07,0.07,0.07,0.07,0.06,0.07,0.08
Debt / EBITDA Ratio,0.62,0.59,0.35,1.28,0.49,0.42,0.74
Debt / FCF Ratio,0.76,0.67,0.35,0.50,0.74,0.50,0.89
Current Ratio,3.98,3.63,3.07,3.01,3.35,2.77,2.23
Asset Turnover,0.33,0.34,0.42,0.35,0.31,0.33,0.38
Return on Equity (ROE),8.20%,8.50%,13.50%,2.90%,8.90%,10.80%,20.20%
Return on Assets (ROA),5.50%,5.80%,9.30%,2.00%,6.00%,7.50%,13.50%
Return on Capital (ROIC),32.20%,34.50%,68.40%,15.00%,42.10%,61.30%,56.10%
Earnings Yield,8.23%,9.56%,8.67%,2.21%,9.33%,12.73%,8.55%
FCF Yield,9.43%,11.70%,12.37%,10.65%,9.28%,15.59%,5.56%
Dividend Yield,6.02%,6.59%,3.58%,4.43%,5.89%,6.76%,1.67%
Payout Ratio,73.20%,69.50%,41.80%,205.70%,65.20%,53.40%,16.10%
Buyback Yield / Dilution,2.00%,2.89%,5.97%,3.24%,5.61%,0.88%,-
Total Shareholder Return,8.01%,9.48%,9.54%,7.67%,11.50%,7.64%,1.67%
