Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,232,489,497,353,397,317,-,-
Market Cap Growth,-,-1.42%,40.56%,-10.93%,25.04%,-,-,-
Enterprise Value,750,879,488,335,539,470,109,100
PE Ratio,4.89,9.92,11.15,12.99,12.63,11.78,-,-
PS Ratio,1.81,3.81,4.53,4.36,5.27,4.98,-,-
PB Ratio,0.58,1.24,1.31,1.33,1.62,1.44,-,-
P/FCF Ratio,3.86,5.87,9.29,-211.65,16.56,12.35,-,-
P/OCF Ratio,3.78,5.76,9.15,15.35,10.03,10.79,-,-
EV/Sales Ratio,5.85,6.85,4.45,4.13,7.16,7.38,2.07,2.40
EV/EBITDA Ratio,10.13,11.76,7.63,9.08,13.70,14.29,3.92,4.55
EV/EBIT Ratio,10.58,12.26,7.92,9.39,14.06,14.63,4.02,4.68
EV/FCF Ratio,12.47,10.54,9.12,-200.60,22.50,18.31,4.60,7.81
Debt / Equity Ratio,1.81,1.21,0.36,0.54,0.71,0.82,0.97,1.01
Debt / EBITDA Ratio,9.81,6.37,2.11,3.86,4.43,5.52,4.78,5.31
Debt / FCF Ratio,12.08,5.72,2.52,-85.22,7.27,7.07,5.60,9.11
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04,-
Return on Equity (ROE),12.50%,12.90%,13.50%,10.50%,13.30%,12.90%,13.40%,-
Return on Assets (ROA),1.10%,1.20%,1.40%,1.00%,1.40%,1.50%,1.20%,-
Return on Capital (ROIC),1.50%,1.70%,1.90%,1.30%,1.70%,1.60%,1.80%,-
Earnings Yield,20.96%,10.08%,8.97%,7.70%,7.92%,8.49%,-,-
FCF Yield,25.88%,17.03%,10.77%,-0.47%,6.04%,8.10%,-,-
Buyback Yield / Dilution,1.60%,1.70%,0.76%,1.74%,4.27%,-3.48%,-,-
Total Shareholder Return,1.60%,1.70%,0.76%,1.74%,4.27%,-3.48%,-,-
