Year,Current,2022,2021,2020
Market Capitalization,179,244,280,-
Market Cap Growth,-,-12.89%,-,-
Enterprise Value,251,250,284,3
PE Ratio,8.78,12.12,-3.97,-
PS Ratio,2.66,3.68,4.42,-
PB Ratio,0.98,1.34,1.37,-
P/FCF Ratio,5.58,8.45,12.14,-
P/OCF Ratio,5.49,8.26,12.70,-
EV/Sales Ratio,3.70,3.77,4.48,0.06
EV/EBITDA Ratio,8.75,9.01,9.89,0.19
EV/EBIT Ratio,8.96,9.24,10.26,0.21
EV/FCF Ratio,7.76,8.67,12.31,0.22
Debt / Equity Ratio,0.73,0.33,0.25,0.30
Debt / EBITDA Ratio,4.65,2.17,1.75,3.44
Debt / FCF Ratio,4.13,2.09,2.18,3.96
Asset Turnover,0.03,0.03,0.04,-
Return on Equity (ROE),11.70%,11.00%,-37.70%,-
Return on Assets (ROA),1.00%,1.00%,-4.20%,-
Return on Capital (ROIC),1.30%,1.30%,1.60%,-
Earnings Yield,11.66%,8.25%,-25.20%,-
FCF Yield,17.91%,11.83%,8.24%,-
Buyback Yield / Dilution,1.89%,-,-,-
Total Shareholder Return,1.89%,-,-,-
