Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,482,502,469,169,281,201,225,305,264,337,303,Upgrade
Market Cap Growth,-,7.02%,177.67%,-39.98%,40.05%,-10.81%,-26.16%,15.46%,-21.60%,11.33%,294.88%,Upgrade
Enterprise Value,403,210,667,340,511,458,429,786,843,640,448,Upgrade
PE Ratio,-63.90,-60.64,12.30,-5.79,15.32,8.39,62.50,12.05,45.72,-197.05,29.12,Upgrade
PS Ratio,0.33,0.36,0.39,0.21,0.36,0.32,0.39,0.60,0.67,4.20,12.75,Upgrade
PB Ratio,1.20,1.26,1.22,0.47,0.71,0.52,0.75,1.04,0.84,1.19,3.06,Upgrade
P/FCF Ratio,1.41,1.11,2.33,1.27,10.39,3.72,4.99,8.67,-16.71,16.37,15.11,Upgrade
P/OCF Ratio,1.35,1.08,2.29,1.20,11.85,3.48,4.80,8.32,-27.94,14.25,-99.76,Upgrade
EV/Sales Ratio,0.28,0.15,0.56,0.42,0.66,0.73,0.74,1.55,2.15,7.97,18.88,Upgrade
EV/EBITDA Ratio,3.85,2.01,5.11,23.04,6.76,7.95,9.21,8.99,12.32,23.79,22.87,Upgrade
EV/EBIT Ratio,5.47,2.90,6.87,-33.31,9.39,10.18,25.84,13.35,38.81,42.77,28.34,Upgrade
EV/FCF Ratio,1.18,0.46,3.31,2.55,18.88,8.49,9.50,22.34,-53.31,31.10,22.37,Upgrade
Debt / Equity Ratio,0.87,0.65,1.03,1.03,0.94,0.91,1.15,1.89,2.13,1.28,2.72,Upgrade
Debt / EBITDA Ratio,3.32,2.48,3.02,24.83,4.95,6.14,7.43,6.35,9.74,13.49,13.75,Upgrade
Debt / FCF Ratio,1.02,0.57,1.95,2.74,13.83,6.56,7.66,15.78,-42.18,17.64,13.46,Upgrade
Asset Turnover,0.36,0.36,0.36,0.30,0.39,0.35,0.25,0.18,0.09,0.01,0.01,Upgrade
Return on Equity (ROE),-2.10%,-2.10%,9.90%,-8.50%,4.70%,6.40%,1.20%,8.50%,1.90%,-0.90%,10.40%,Upgrade
Return on Assets (ROA),-0.20%,-0.20%,1.20%,-1.10%,0.90%,1.40%,0.20%,0.90%,0.10%,0.00%,0.30%,Upgrade
Return on Capital (ROIC),2.10%,2.10%,3.00%,-0.40%,2.70%,2.40%,0.60%,1.80%,0.50%,0.20%,0.50%,Upgrade
Earnings Yield,-1.74%,-1.65%,8.13%,-17.27%,6.53%,11.91%,1.60%,8.30%,2.19%,-0.51%,3.43%,Upgrade
FCF Yield,70.91%,90.16%,42.99%,79.05%,9.63%,26.87%,20.06%,11.53%,-5.98%,6.11%,6.62%,Upgrade
Dividend Yield,1.30%,1.13%,1.15%,3.21%,1.91%,2.33%,1.99%,1.04%,1.26%,-,0.59%,Upgrade
Payout Ratio,-48.00%,-69.60%,14.20%,-18.60%,29.80%,19.60%,100.00%,12.70%,58.80%,0.00%,17.30%,Upgrade
Buyback Yield / Dilution,-6.70%,-5.47%,0.51%,2.08%,0.40%,6.94%,-17.44%,4.32%,-97.97%,-63.62%,0.35%,Upgrade
Total Shareholder Return,-5.40%,-4.34%,1.66%,5.29%,2.30%,9.28%,-15.45%,5.37%,-96.71%,-63.62%,0.94%,Upgrade
