Year,Current,2022,2021,2020
Market Capitalization,423,384,478,-
Market Cap Growth,-,-19.62%,-,-
Enterprise Value,"1,022",984,887,239
PE Ratio,378.66,-12.65,3.61,-
PS Ratio,2.73,2.64,5.82,-
PB Ratio,0.90,0.84,1.07,-
P/FCF Ratio,-2.72,-1.63,-1.97,-
P/OCF Ratio,-2.73,-1.63,-1.98,-
EV/Sales Ratio,6.59,6.77,10.79,4.34
EV/EBITDA Ratio,25.81,260.90,5.81,22.39
EV/EBIT Ratio,25.81,260.90,5.81,22.39
EV/FCF Ratio,-6.39,-4.17,-3.65,-4.08
Debt / Equity Ratio,1.29,1.33,1.02,1.26
Debt / EBITDA Ratio,15.34,161.83,2.98,28.12
Debt / FCF Ratio,-3.72,-2.59,-1.87,-5.13
Asset Turnover,0.14,0.14,0.11,0.11
Return on Equity (ROE),0.30%,-6.70%,33.40%,-2.60%
Return on Assets (ROA),0.10%,-2.80%,18.30%,-1.20%
Return on Capital (ROIC),2.40%,0.20%,15.50%,1.50%
Earnings Yield,0.28%,-7.90%,27.67%,-
FCF Yield,-38.59%,-61.38%,-50.79%,-
Dividend Yield,19.08%,15.75%,7.73%,-
Payout Ratio,11700.00%,-179.20%,24.80%,0.00%
Buyback Yield / Dilution,-25.91%,-20.02%,-62.06%,-
Total Shareholder Return,-6.83%,-4.27%,-54.33%,-
