Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,223,808,"1,120",893,777,572,653,465,377,140,-,Upgrade
Market Cap Growth,-,-27.88%,25.54%,14.87%,35.94%,-12.50%,40.37%,23.58%,168.31%,-,-,Upgrade
Enterprise Value,"1,191","1,521",209,532,"1,455","1,212","1,211","1,117",957,394,84,Upgrade
PE Ratio,2.43,7.31,10.23,10.58,13.82,13.31,23.68,19.97,28.15,16.72,-,Upgrade
PS Ratio,0.62,2.21,3.74,3.65,3.72,3.05,4.37,3.90,4.47,2.08,-,Upgrade
PB Ratio,0.19,0.71,1.05,1.28,1.27,1.02,1.65,1.64,1.45,1.41,-,Upgrade
P/FCF Ratio,3.32,8.38,11.95,13.82,13.35,11.84,18.33,33.63,31.08,15.28,-,Upgrade
P/OCF Ratio,3.05,8.00,11.56,13.23,12.86,11.21,17.25,23.54,27.15,15.00,-,Upgrade
EV/Sales Ratio,3.45,4.15,0.70,2.17,6.96,6.48,8.09,9.36,11.35,5.85,1.58,Upgrade
EV/EBITDA Ratio,9.65,9.77,1.33,4.29,17.15,18.68,22.45,27.51,39.27,24.52,7.99,Upgrade
EV/EBIT Ratio,10.15,10.16,1.38,4.48,18.30,20.18,23.93,29.15,41.91,26.55,8.87,Upgrade
EV/FCF Ratio,18.52,15.77,2.23,8.24,24.99,25.11,33.98,80.77,78.97,42.84,13.88,Upgrade
Debt / Equity Ratio,2.02,1.21,0.20,0.39,1.21,1.27,1.72,4.40,3.06,2.84,1.63,Upgrade
Debt / EBITDA Ratio,18.59,8.80,1.34,2.17,8.76,10.91,12.57,30.78,32.67,17.62,13.41,Upgrade
Debt / FCF Ratio,35.66,14.20,2.24,4.17,12.76,14.67,19.03,90.35,65.70,30.80,23.27,Upgrade
Asset Turnover,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.06,0.06,Upgrade
Return on Equity (ROE),7.80%,10.00%,13.40%,12.80%,9.50%,8.50%,8.20%,8.30%,7.20%,9.00%,9.80%,Upgrade
Return on Assets (ROA),0.70%,0.90%,1.30%,1.20%,0.90%,0.80%,0.70%,0.70%,0.70%,0.70%,0.80%,Upgrade
Return on Capital (ROIC),0.90%,1.30%,2.10%,1.70%,1.20%,1.00%,1.10%,1.00%,0.90%,1.10%,1.00%,Upgrade
Earnings Yield,41.23%,13.68%,9.77%,9.45%,7.24%,7.52%,4.22%,5.01%,3.55%,5.98%,-,Upgrade
FCF Yield,30.09%,11.94%,8.37%,7.24%,7.49%,8.45%,5.46%,2.97%,3.22%,6.55%,-,Upgrade
Dividend Yield,8.77%,3.08%,1.46%,1.41%,1.16%,-,-,-,-,-,-,Upgrade
Payout Ratio,28.20%,22.40%,14.90%,14.80%,15.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,0.27%,-24.26%,-1.24%,0.02%,-5.51%,-20.48%,-5.55%,-44.58%,-41.75%,-5.48%,-13.32%,Upgrade
Total Shareholder Return,9.51%,-21.19%,0.22%,1.43%,-4.35%,-20.48%,-5.55%,-44.58%,-41.75%,-5.48%,-13.32%,Upgrade
