Year,Current,2022
Market Capitalization,39,37
Enterprise Value,39,38
PE Ratio,-492.35,-492.35
PB Ratio,-29.58,-29.58
P/FCF Ratio,-52.60,-52.60
P/OCF Ratio,-52.60,-52.60
EV/EBITDA Ratio,-498.77,-498.77
EV/EBIT Ratio,-498.77,-498.77
EV/FCF Ratio,-53.29,-53.29
Debt / Equity Ratio,-0.52,-0.52
Debt / EBITDA Ratio,-8.57,-8.57
Debt / FCF Ratio,-0.92,-0.92
Current Ratio,0.36,0.36
Return on Equity (ROE),-13.90%,-13.90%
Return on Assets (ROA),-0.20%,-0.20%
Return on Capital (ROIC),-0.20%,-0.20%
Earnings Yield,-0.20%,-0.20%
FCF Yield,-1.84%,-1.90%
Buyback Yield / Dilution,-18.00%,-
Total Shareholder Return,-18.00%,-
