Year,Current,2022
Market Capitalization,188,183
Enterprise Value,188,183
PE Ratio,-218.94,-218.94
PB Ratio,-36.76,-36.76
P/FCF Ratio,-510.45,-510.45
P/OCF Ratio,-510.45,-510.45
EV/EBITDA Ratio,-218.64,-218.64
EV/EBIT Ratio,-218.64,-218.64
EV/FCF Ratio,-509.74,-509.74
Current Ratio,0.10,0.10
Return on Equity (ROE),21.40%,21.40%
Return on Assets (ROA),-0.60%,-0.60%
Return on Capital (ROIC),-0.60%,-0.60%
Earnings Yield,-0.44%,-0.46%
FCF Yield,-0.19%,-0.20%
Buyback Yield / Dilution,-46.21%,-
Total Shareholder Return,-46.21%,-
