Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,333,85,30,20,11,17,15,23,23,29,30,Upgrade
Market Cap Growth,-,186.51%,51.36%,86.34%,-36.78%,11.65%,-34.04%,0.56%,-23.15%,-0.83%,84.94%,Upgrade
Enterprise Value,460,208,79,19,10,15,14,22,20,26,26,Upgrade
PE Ratio,-1.75,-0.93,-0.31,-44.85,-13.00,119.93,-66.24,-349.07,167.28,45.30,43.44,Upgrade
PS Ratio,13.74,5.68,-,1.47,0.60,0.92,0.87,1.29,1.29,1.59,1.69,Upgrade
PB Ratio,2.47,0.73,0.24,1.66,0.86,1.28,1.16,1.69,1.67,2.20,2.35,Upgrade
P/FCF Ratio,-2.46,-0.90,-0.22,-37.14,-11.25,24.54,2070.52,-19.69,-15.54,60.33,44.30,Upgrade
P/OCF Ratio,-8.21,-2.51,-1.24,-49.40,-22.17,13.66,73.19,24.77,15.40,32.05,20.20,Upgrade
EV/Sales Ratio,17.47,13.86,-,1.39,0.58,0.84,0.83,1.23,1.16,1.39,1.51,Upgrade
EV/EBITDA Ratio,-4.53,-3.51,-0.84,138.20,-48.13,14.34,32.79,27.59,22.36,16.25,17.08,Upgrade
EV/EBIT Ratio,-3.74,-3.14,-0.84,-33.22,-11.42,55.64,-32.27,-1994.74,90.38,27.95,28.54,Upgrade
EV/FCF Ratio,-3.85,-2.19,-0.59,-35.25,-10.88,22.53,1967.24,-18.74,-13.99,52.73,39.56,Upgrade
Debt / Equity Ratio,0.79,1.12,0.78,0.23,0.23,0.23,0.24,0.24,-,-,-,Upgrade
Debt / EBITDA Ratio,-1.91,-2.21,-1.02,19.87,-13.28,2.75,7.09,4.09,-,-,-,Upgrade
Debt / FCF Ratio,-1.63,-1.38,-0.72,-5.07,-3.00,4.33,425.35,-2.78,-,-,-,Upgrade
Current Ratio,0.40,0.11,1.48,2.17,4.49,6.87,9.45,6.89,5.92,11.90,9.20,Upgrade
Asset Turnover,0.08,0.05,0,0.87,1.04,1.05,0.99,1.01,1.17,1.26,1.29,Upgrade
Return on Equity (ROE),-76.70%,-73.90%,-221.80%,-3.90%,-6.50%,1.10%,-1.80%,-0.50%,1.00%,4.90%,5.60%,Upgrade
Return on Assets (ROA),-31.60%,-30.00%,-119.50%,-2.80%,-4.80%,0.80%,-1.30%,-0.40%,0.90%,4.40%,5.00%,Upgrade
Return on Capital (ROIC),-21.90%,-20.50%,-132.70%,-4.60%,-5.20%,1.60%,-2.50%,-0.10%,2.00%,8.00%,8.30%,Upgrade
Earnings Yield,-27.58%,-107.18%,-320.85%,-2.23%,-7.69%,0.83%,-1.51%,-0.29%,0.60%,2.21%,2.30%,Upgrade
FCF Yield,-19.59%,-111.43%,-446.55%,-2.69%,-8.89%,4.08%,0.05%,-5.08%,-6.44%,1.66%,2.26%,Upgrade
Buyback Yield / Dilution,-64.82%,-29.86%,-4210.97%,0.20%,0.17%,1.20%,0.55%,-0.00%,-0.01%,-0.38%,-1.00%,Upgrade
Total Shareholder Return,-64.82%,-29.86%,-4210.97%,0.20%,0.17%,1.20%,0.55%,-0.00%,-0.01%,-0.38%,-1.00%,Upgrade
