Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"6,028","8,531","7,986","7,328","7,291","5,988","5,959","5,863","4,146","4,188","4,305",Upgrade
Market Cap Growth,-,6.82%,8.97%,0.51%,21.76%,0.49%,1.63%,41.41%,-0.99%,-2.72%,33.95%,Upgrade
Enterprise Value,"8,600","10,491","6,742","7,243","8,257","6,755","6,999","6,922","5,725","5,086","4,533",Upgrade
PE Ratio,12.47,17.47,15.05,21.42,17.69,14.11,19.20,22.01,16.28,16.25,16.50,Upgrade
PS Ratio,4.05,5.84,5.46,6.12,5.63,4.67,5.18,5.38,3.94,4.08,4.23,Upgrade
PB Ratio,2.26,3.46,2.32,2.16,2.33,2.04,2.19,2.35,1.76,1.80,1.95,Upgrade
P/FCF Ratio,12.45,17.16,14.52,12.36,15.44,11.24,14.94,13.31,15.65,12.99,12.61,Upgrade
P/OCF Ratio,10.94,15.25,13.36,11.74,14.22,10.83,13.97,12.89,14.24,11.61,11.90,Upgrade
EV/Sales Ratio,5.78,7.18,4.61,6.04,6.37,5.27,6.09,6.35,5.43,4.95,4.46,Upgrade
EV/EBITDA Ratio,12.84,15.71,9.35,14.93,14.45,11.68,14.90,15.72,13.53,11.95,10.64,Upgrade
EV/EBIT Ratio,13.80,16.90,9.97,16.41,15.57,12.52,16.28,17.33,15.05,13.27,11.80,Upgrade
EV/FCF Ratio,17.76,21.10,12.26,12.22,17.48,12.68,17.55,15.71,21.62,15.77,13.28,Upgrade
Debt / Equity Ratio,1.61,1.16,0.88,0.62,0.59,0.67,0.56,0.73,0.88,0.84,0.66,Upgrade
Debt / EBITDA Ratio,6.41,4.27,4.21,4.33,3.24,3.40,3.21,4.15,4.89,4.62,3.41,Upgrade
Debt / FCF Ratio,8.87,5.74,5.52,3.54,3.92,3.69,3.78,4.14,7.81,6.10,4.26,Upgrade
Asset Turnover,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),19.30%,18.70%,15.50%,10.30%,13.30%,15.20%,11.70%,10.60%,10.80%,11.30%,12.00%,Upgrade
Return on Assets (ROA),1.50%,1.50%,1.50%,1.10%,1.60%,1.70%,1.20%,1.10%,1.10%,1.10%,1.20%,Upgrade
Return on Capital (ROIC),1.80%,1.80%,2.00%,1.40%,2.00%,2.10%,1.70%,1.60%,1.50%,1.60%,1.70%,Upgrade
Earnings Yield,8.12%,5.73%,6.65%,4.67%,5.65%,7.09%,5.21%,4.54%,6.14%,6.15%,6.06%,Upgrade
FCF Yield,8.03%,5.83%,6.89%,8.09%,6.48%,8.90%,6.69%,7.51%,6.39%,7.70%,7.93%,Upgrade
Dividend Yield,2.15%,1.50%,1.53%,1.64%,1.53%,1.67%,1.56%,1.50%,2.04%,2.00%,1.43%,Upgrade
Payout Ratio,26.80%,26.50%,24.30%,39.00%,32.00%,27.30%,33.00%,34.70%,33.80%,33.10%,23.60%,Upgrade
Buyback Yield / Dilution,1.86%,-2.74%,-4.15%,-3.94%,-1.02%,0.46%,-0.21%,0.89%,3.60%,4.33%,0.41%,Upgrade
Total Shareholder Return,4.01%,-1.24%,-2.62%,-2.30%,0.51%,2.12%,1.35%,2.40%,5.64%,6.33%,1.84%,Upgrade
