Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,272,371,378,266,372,326,345,360,283,375,117,Upgrade
Market Cap Growth,-,-1.78%,42.34%,-28.63%,14.11%,-5.38%,-4.32%,27.34%,-24.59%,219.64%,23.35%,Upgrade
Enterprise Value,206,482,134,135,526,418,480,461,349,396,125,Upgrade
PE Ratio,7.60,9.74,8.68,9.05,14.46,13.08,18.67,18.39,15.96,21.25,20.51,Upgrade
PS Ratio,2.52,3.44,3.48,2.98,4.40,4.04,4.42,4.96,4.10,5.43,2.75,Upgrade
PB Ratio,0.83,1.18,1.11,0.84,1.24,1.17,1.30,1.40,1.14,1.52,0.49,Upgrade
P/FCF Ratio,9.40,10.70,10.51,7.52,11.82,11.26,15.42,16.91,11.42,16.20,9.43,Upgrade
P/OCF Ratio,7.19,8.76,9.27,7.14,10.03,9.99,12.05,12.84,9.69,15.50,8.99,Upgrade
EV/Sales Ratio,1.92,4.46,1.23,1.52,6.22,5.17,6.17,6.35,5.05,5.74,2.93,Upgrade
EV/EBITDA Ratio,4.40,9.75,2.34,3.52,15.88,13.25,16.22,16.80,13.92,15.18,16.74,Upgrade
EV/EBIT Ratio,4.81,10.62,2.50,3.95,18.20,14.76,18.04,18.75,15.67,17.15,20.11,Upgrade
EV/FCF Ratio,7.14,13.89,3.72,3.82,16.70,14.43,21.50,21.65,14.07,17.12,10.03,Upgrade
Debt / Equity Ratio,0.23,0.47,0.10,0.31,0.62,0.45,0.65,0.55,0.40,0.21,0.25,Upgrade
Debt / EBITDA Ratio,1.61,3.01,0.62,2.54,5.59,3.95,5.85,5.13,3.94,2.02,7.89,Upgrade
Debt / FCF Ratio,2.61,4.28,0.99,2.77,5.87,4.30,7.76,6.62,3.98,2.28,4.73,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,Upgrade
Return on Equity (ROE),11.50%,12.20%,13.30%,9.40%,8.80%,9.20%,7.00%,7.70%,7.10%,7.20%,3.10%,Upgrade
Return on Assets (ROA),1.00%,1.10%,1.40%,1.10%,1.10%,1.10%,0.90%,1.00%,1.00%,1.00%,0.40%,Upgrade
Return on Capital (ROIC),1.20%,1.30%,1.90%,1.30%,1.20%,1.20%,1.30%,1.20%,1.30%,1.40%,0.50%,Upgrade
Earnings Yield,13.27%,10.26%,11.52%,11.06%,6.92%,7.64%,5.36%,5.44%,6.27%,4.71%,4.88%,Upgrade
FCF Yield,10.64%,9.35%,9.51%,13.30%,8.46%,8.88%,6.49%,5.91%,8.76%,6.17%,10.61%,Upgrade
Dividend Yield,4.21%,3.07%,2.87%,3.98%,2.73%,2.97%,2.70%,2.55%,3.30%,1.88%,3.71%,Upgrade
Payout Ratio,31.90%,29.80%,24.80%,35.80%,39.40%,38.90%,50.40%,46.80%,52.50%,39.70%,76.00%,Upgrade
Buyback Yield / Dilution,0.24%,0.33%,1.40%,1.01%,-0.13%,-0.10%,0.01%,1.59%,0.60%,-59.77%,-5.94%,Upgrade
Total Shareholder Return,4.45%,3.40%,4.27%,4.99%,2.60%,2.88%,2.72%,4.14%,3.90%,-57.89%,-2.23%,Upgrade
