Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,76,77,114,49,141,208,325,418,430,617,458,Upgrade
Market Cap Growth,-,-32.83%,134.88%,-65.58%,-32.20%,-36.01%,-22.17%,-2.73%,-30.43%,34.76%,88.01%,Upgrade
Enterprise Value,144,132,122,143,309,542,704,815,"1,021","1,102",706,Upgrade
PE Ratio,-24.07,-12.55,89.26,-0.74,-1.46,-1.88,-21.57,-14.94,-29.11,11.84,11.62,Upgrade
PS Ratio,4.12,4.93,3.53,2.26,3.05,3.11,3.38,3.46,2.88,4.43,5.15,Upgrade
PB Ratio,0.58,0.63,0.79,0.32,0.65,0.65,0.71,0.81,0.69,0.85,0.90,Upgrade
P/FCF Ratio,-3.51,-2.62,1.20,0.62,0.79,2.64,4.95,1.53,-20.95,-1.54,-1.44,Upgrade
P/OCF Ratio,-3.51,-2.62,1.20,0.62,0.79,2.64,4.95,1.53,-20.95,-1.54,-1.44,Upgrade
EV/Sales Ratio,7.82,8.48,3.78,6.64,6.66,8.11,7.31,6.75,6.84,7.91,7.93,Upgrade
EV/EBITDA Ratio,79.99,-132.63,17.25,-2.81,-4.25,-6.55,42.41,352.05,94.77,15.25,13.35,Upgrade
EV/EBIT Ratio,79.99,-132.63,17.25,-2.81,-4.25,-6.55,42.41,352.05,94.77,15.25,13.35,Upgrade
EV/FCF Ratio,-6.59,-4.50,1.28,1.82,1.72,6.89,10.71,2.99,-49.79,-2.76,-2.22,Upgrade
Debt / Equity Ratio,0.60,0.65,0.54,1.00,1.16,1.28,1.06,0.97,0.98,0.71,0.50,Upgrade
Debt / EBITDA Ratio,43.90,-78.45,10.94,-2.97,-3.47,-4.95,29.35,216.68,56.35,7.21,4.84,Upgrade
Debt / FCF Ratio,-3.57,-2.66,0.81,1.93,1.40,5.21,7.41,1.84,-29.60,-1.30,-0.81,Upgrade
Asset Turnover,0.09,0.07,0.14,0.06,0.08,0.08,0.10,0.11,0.12,0.13,0.13,Upgrade
Return on Equity (ROE),-2.50%,-4.50%,0.90%,-39.70%,-36.80%,-30.10%,-3.10%,-5.20%,-2.20%,8.40%,9.50%,Upgrade
Return on Assets (ROA),-1.50%,-2.70%,0.60%,-19.30%,-15.90%,-13.60%,-1.50%,-2.60%,-1.20%,4.80%,5.90%,Upgrade
Return on Capital (ROIC),0.70%,-0.40%,2.90%,-11.40%,-8.40%,-7.10%,1.20%,0.10%,0.60%,4.90%,5.90%,Upgrade
Earnings Yield,-4.26%,-7.97%,1.12%,-135.52%,-68.45%,-53.31%,-4.64%,-6.69%,-3.44%,8.45%,8.60%,Upgrade
FCF Yield,-29.25%,-38.24%,83.40%,161.36%,127.28%,37.82%,20.21%,65.31%,-4.77%,-64.74%,-69.40%,Upgrade
Dividend Yield,0.34%,0.37%,-,15.86%,5.79%,13.61%,12.73%,14.85%,17.04%,11.35%,9.57%,Upgrade
Payout Ratio,-10.70%,-4.60%,0.00%,-11.70%,-8.50%,-25.50%,-271.40%,-224.00%,-488.50%,134.50%,111.50%,Upgrade
Buyback Yield / Dilution,12.62%,13.23%,1.68%,-,-,0.00%,1.67%,3.86%,-21.66%,-56.60%,-68.79%,Upgrade
Total Shareholder Return,12.96%,13.60%,1.68%,15.86%,5.79%,13.61%,14.40%,18.71%,-4.62%,-45.25%,-59.22%,Upgrade
