Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,214,255,312,238,-,-,-
Market Cap Growth,-,-18.47%,31.37%,-,-,-,-
Enterprise Value,66,-121,-13,81,-230,-120,-35
PE Ratio,14.42,24.77,289.93,45.73,-,-,-
PS Ratio,3.09,4.47,5.84,4.12,-,-,-
PB Ratio,0.86,1.05,1.31,1.06,-,-,-
P/FCF Ratio,3.88,5.05,9.69,516.73,-,-,-
P/OCF Ratio,3.92,5.09,9.56,117.38,-,-,-
EV/Sales Ratio,0.96,-2.13,-0.24,1.40,-5.01,-2.22,-0.81
EV/EBITDA Ratio,3.19,-7.55,-2.30,9.08,-21.19,-5.88,-3.42
EV/EBIT Ratio,3.68,-9.11,-4.78,13.48,-28.60,-6.75,-4.22
EV/FCF Ratio,1.20,-2.41,-0.39,175.64,-51.57,-7.99,-14.11
Debt / Equity Ratio,-,-,-,-,-,-,0.05
Debt / EBITDA Ratio,-,-,-,-,-,-,0.49
Debt / FCF Ratio,-,-,-,-,-,-,2.00
Asset Turnover,0.04,0.03,0.03,0.04,0.03,0.05,-
Return on Equity (ROE),8.00%,4.30%,0.50%,2.30%,6.10%,10.40%,-
Return on Assets (ROA),1.00%,0.50%,0.10%,0.40%,0.50%,1.00%,-
Return on Capital (ROIC),1.50%,0.90%,0.20%,0.50%,0.70%,1.60%,-
Earnings Yield,6.59%,4.04%,0.34%,2.19%,-,-,-
FCF Yield,25.79%,19.79%,10.32%,0.19%,-,-,-
Buyback Yield / Dilution,-0.20%,-0.25%,-0.22%,3.71%,-,-,-
Total Shareholder Return,-0.20%,-0.25%,-0.22%,3.71%,-,-,-
