Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,227,278,500,267,295,208,210,103,106,121,115,Upgrade
Market Cap Growth,-,-44.45%,87.02%,-9.29%,41.53%,-0.83%,102.90%,-2.03%,-12.84%,5.61%,112.76%,Upgrade
Enterprise Value,-260,433,277,57,504,433,398,236,321,259,265,Upgrade
PE Ratio,9.22,18.45,12.79,7.23,11.11,18.08,29.67,8.78,16.92,69.36,29.16,Upgrade
PS Ratio,1.68,2.04,3.42,1.86,2.41,2.36,2.54,1.25,1.57,2.52,2.41,Upgrade
PB Ratio,0.84,1.06,1.82,1.12,1.39,1.18,1.40,0.71,0.92,1.11,1.22,Upgrade
P/FCF Ratio,1.98,4.47,16.69,2.53,-29.16,52.04,7.33,4.28,-4.22,8.29,-21.46,Upgrade
P/OCF Ratio,1.93,4.26,14.36,2.38,-36.55,31.10,6.34,4.10,-4.61,4.96,99.42,Upgrade
EV/Sales Ratio,-1.68,3.18,1.90,0.40,4.12,4.91,4.80,2.86,4.76,5.38,5.57,Upgrade
EV/EBITDA Ratio,-6.84,17.67,5.20,1.14,13.02,23.66,26.48,11.39,25.43,72.39,44.66,Upgrade
EV/EBIT Ratio,-8.32,22.57,5.65,1.22,14.22,28.18,32.26,13.63,33.05,111.12,53.02,Upgrade
EV/FCF Ratio,-1.98,6.97,9.24,0.54,-49.87,108.30,13.89,9.75,-12.80,17.68,-49.60,Upgrade
Debt / Equity Ratio,0.33,0.75,0.31,0.22,1.12,1.40,1.39,1.03,2.13,1.53,2.02,Upgrade
Debt / EBITDA Ratio,2.67,7.98,1.59,1.07,6.13,13.51,13.85,7.23,19.36,46.89,32.05,Upgrade
Debt / FCF Ratio,0.77,3.14,2.82,0.51,-23.47,61.82,7.27,6.19,-9.75,11.45,-35.60,Upgrade
Asset Turnover,0.04,0.05,0.05,0.07,0.07,0.05,0.06,0.06,0.05,0.05,0.06,Upgrade
Return on Equity (ROE),9.10%,5.90%,15.30%,16.20%,13.30%,6.90%,4.80%,9.20%,5.50%,1.60%,4.60%,Upgrade
Return on Assets (ROA),0.70%,0.50%,1.40%,1.70%,1.40%,0.70%,0.50%,0.80%,0.50%,0.20%,0.50%,Upgrade
Return on Capital (ROIC),0.90%,0.60%,2.00%,2.30%,1.70%,0.80%,0.80%,1.10%,0.70%,0.20%,0.50%,Upgrade
Earnings Yield,10.39%,5.42%,7.82%,13.82%,9.00%,5.53%,3.37%,11.39%,5.91%,1.44%,3.43%,Upgrade
FCF Yield,50.54%,22.38%,5.99%,39.51%,-3.43%,1.92%,13.64%,23.37%,-23.72%,12.07%,-4.66%,Upgrade
Dividend Yield,3.96%,3.15%,1.29%,1.63%,0.80%,0.67%,0.50%,0.78%,0.62%,0.53%,0.45%,Upgrade
Payout Ratio,36.00%,55.30%,15.40%,11.50%,8.60%,10.60%,14.50%,5.60%,10.30%,36.40%,12.70%,Upgrade
Buyback Yield / Dilution,-0.68%,-2.04%,-4.35%,-0.36%,5.32%,-21.86%,-3.69%,-23.69%,-0.47%,-16.76%,-53.88%,Upgrade
Total Shareholder Return,3.37%,1.11%,-3.06%,1.27%,6.12%,-21.18%,-3.19%,-22.91%,0.15%,-16.23%,-53.43%,Upgrade
