Year,Current,2022,2021,2020,2019,2018
Market Capitalization,590,519,"1,484",-,-,-
Market Cap Growth,-,-65.03%,-,-,-,-
Enterprise Value,"3,856","4,036","10,020","6,887","4,055","2,590"
PE Ratio,-1.81,-1.90,13.07,-,-,-
PS Ratio,0.57,0.41,0.40,-,-,-
PB Ratio,1.37,1.20,2.83,-,-,-
P/FCF Ratio,0.16,0.12,-0.98,-,-,-
P/OCF Ratio,0.16,0.12,-1.01,-,-,-
EV/Sales Ratio,4.01,3.21,2.69,1.60,3.03,2.32
EV/EBITDA Ratio,-25.25,-24.37,34.01,62.08,40.20,33.45
EV/EBIT Ratio,-18.05,-17.66,42.38,137.06,102.55,62.95
EV/FCF Ratio,1.11,0.91,-6.59,-3.34,-2.69,-5.52
Debt / Equity Ratio,10.38,10.38,17.49,-,11.10,12.85
Debt / EBITDA Ratio,-27.76,-27.16,31.08,66.48,41.36,34.93
Debt / FCF Ratio,1.20,1.02,-6.03,-3.57,-2.76,-5.76
Asset Turnover,0.13,0.15,0.29,0.54,0.32,-
Return on Equity (ROE),-59.80%,-53.40%,20.80%,0.00%,0.00%,-
Return on Assets (ROA),-3.80%,-3.20%,0.90%,0.00%,0.00%,-
Return on Capital (ROIC),-1.90%,-1.70%,1.10%,0.40%,0.50%,-
Earnings Yield,-50.94%,-52.62%,7.65%,-,-,-
FCF Yield,630.94%,851.48%,-102.44%,-,-,-
Dividend Yield,2.68%,2.41%,7.47%,-,-,-
Payout Ratio,-4.60%,-4.60%,97.90%,-,-,-
Buyback Yield / Dilution,-22.88%,-20.02%,60.00%,-,-,-
Total Shareholder Return,-22.88%,-17.62%,67.47%,-,-,-
