Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,623,838,873,625,693,503,595,566,285,142,99,Upgrade
Market Cap Growth,-,-4.04%,39.69%,-9.74%,37.73%,-15.49%,5.12%,98.53%,101.05%,43.19%,53.56%,Upgrade
Enterprise Value,722,"1,480",919,645,738,663,743,700,631,684,548,Upgrade
PE Ratio,6.23,8.46,8.83,10.32,12.07,11.67,16.67,20.45,16.85,10.23,8.42,Upgrade
PS Ratio,1.96,2.76,3.17,2.78,3.05,2.94,4.31,4.80,3.04,1.70,1.17,Upgrade
PB Ratio,0.78,1.09,1.29,1.05,1.29,1.06,1.69,1.98,1.26,0.99,0.67,Upgrade
P/FCF Ratio,5.99,9.58,11.50,5.79,10.40,9.52,21.29,15.16,11.09,6.02,3.35,Upgrade
P/OCF Ratio,4.67,7.06,9.90,5.57,9.06,7.83,17.65,13.05,9.48,5.54,3.09,Upgrade
EV/Sales Ratio,2.27,4.88,3.34,2.87,3.25,3.87,5.38,5.93,6.73,8.19,6.45,Upgrade
EV/EBITDA Ratio,5.60,11.93,7.13,7.99,9.28,11.37,16.29,17.31,26.46,32.57,24.43,Upgrade
EV/EBIT Ratio,6.15,13.03,7.57,8.81,10.24,12.71,18.28,19.14,30.66,38.02,28.02,Upgrade
EV/FCF Ratio,6.94,16.92,12.10,5.98,11.07,12.55,26.58,18.75,24.57,29.03,18.51,Upgrade
Debt / Equity Ratio,0.52,1.07,0.25,0.30,0.52,0.86,0.88,1.02,1.97,4.60,3.82,Upgrade
Debt / EBITDA Ratio,3.24,6.66,1.33,2.19,3.51,6.95,6.79,7.19,18.61,31.54,25.12,Upgrade
Debt / FCF Ratio,4.01,9.44,2.25,1.64,4.19,7.67,11.07,7.79,17.28,28.12,19.03,Upgrade
Asset Turnover,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,Upgrade
Return on Equity (ROE),13.40%,13.60%,15.40%,10.70%,11.20%,10.40%,11.30%,10.30%,8.40%,9.90%,8.10%,Upgrade
Return on Assets (ROA),1.30%,1.40%,1.70%,1.10%,1.10%,1.00%,1.00%,0.90%,0.70%,0.60%,0.50%,Upgrade
Return on Capital (ROIC),1.50%,1.50%,2.10%,1.30%,1.40%,1.10%,1.10%,1.20%,0.70%,0.60%,0.70%,Upgrade
Earnings Yield,16.47%,11.82%,11.32%,9.69%,8.29%,8.57%,6.00%,4.89%,5.94%,9.78%,11.88%,Upgrade
FCF Yield,16.69%,10.44%,8.70%,17.27%,9.62%,10.50%,4.70%,6.60%,9.01%,16.61%,29.89%,Upgrade
Dividend Yield,0.64%,0.48%,0.44%,0.61%,0.55%,0.72%,0.46%,0.36%,0.29%,0.45%,0.46%,Upgrade
Payout Ratio,4.00%,4.00%,3.80%,6.20%,6.60%,8.20%,7.50%,7.30%,4.90%,4.60%,3.80%,Upgrade
Buyback Yield / Dilution,-6.88%,-5.93%,0.05%,0.09%,-5.99%,-10.12%,-7.16%,-21.58%,-30.45%,-42.53%,-14.79%,Upgrade
Total Shareholder Return,-6.23%,-5.44%,0.49%,0.71%,-5.44%,-9.40%,-6.70%,-21.22%,-30.16%,-42.08%,-14.33%,Upgrade
