Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,115,170,193,116,163,140,-,-
Market Cap Growth,-,-12.16%,66.13%,-28.62%,16.31%,-,-,-
Enterprise Value,48,97,88,23,87,62,-38,-10
PE Ratio,3.51,5.09,6.70,8.86,9.72,9.82,-,-
PS Ratio,1.32,1.85,2.52,2.32,2.98,2.86,-,-
PB Ratio,0.68,0.96,1.17,0.81,1.16,1.08,-,-
P/FCF Ratio,1.46,2.06,-6.57,-21.25,9.44,4.76,-,-
P/OCF Ratio,1.44,2.03,-6.83,-23.96,8.58,4.57,-,-
EV/Sales Ratio,0.52,1.06,1.15,0.47,1.59,1.27,-0.88,-0.28
EV/EBITDA Ratio,0.99,2.01,2.10,1.20,3.74,3.04,-2.11,-0.76
EV/EBIT Ratio,1.02,2.07,2.16,1.28,3.94,3.20,-2.23,-0.82
EV/FCF Ratio,0.58,1.18,-2.99,-4.27,5.04,2.12,14.89,-0.98
Debt / Equity Ratio,0.06,0.06,0.06,0.09,0.07,-,0.27,0.12
Debt / EBITDA Ratio,0.21,0.21,0.25,0.69,0.44,-,1.38,0.75
Debt / FCF Ratio,0.12,0.12,-0.35,-2.46,0.59,-,-9.74,0.97
Asset Turnover,0.05,0.05,0.05,0.04,0.05,0.05,0.05,-
Return on Equity (ROE),19.50%,19.50%,18.50%,9.30%,12.30%,11.60%,10.70%,-
Return on Assets (ROA),1.70%,1.70%,1.80%,1.00%,1.50%,1.40%,1.10%,-
Return on Capital (ROIC),2.50%,2.50%,2.80%,1.50%,2.10%,2.10%,2.10%,-
Earnings Yield,27.64%,19.64%,14.94%,11.29%,10.29%,10.18%,-,-
FCF Yield,68.32%,48.53%,-15.23%,-4.71%,10.59%,21.01%,-,-
Dividend Yield,6.31%,3.94%,2.43%,3.64%,1.93%,-,-,-
Payout Ratio,20.50%,20.50%,16.40%,32.90%,19.20%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.44%,-0.44%,-0.25%,3.87%,0.51%,-3.90%,-,-
Total Shareholder Return,5.95%,3.50%,2.18%,7.51%,2.44%,-3.90%,-,-
