Year,Current,2022
Market Capitalization,299,293
Enterprise Value,298,292
PE Ratio,149.43,-518.47
PB Ratio,-40.01,-42.67
P/FCF Ratio,-401.33,-196.48
P/OCF Ratio,-401.33,-196.48
EV/EBITDA Ratio,100.49,2046.38
EV/EBIT Ratio,100.49,2046.38
EV/FCF Ratio,-400.19,-195.77
Current Ratio,0.70,1.44
Return on Equity (ROE),-25.30%,9.20%
Return on Assets (ROA),0.70%,-0.20%
Return on Capital (ROIC),1.20%,0.10%
Earnings Yield,0.56%,-0.19%
FCF Yield,-0.25%,-0.51%
Buyback Yield / Dilution,-29.78%,-
Total Shareholder Return,-29.78%,-
