Year,Current,2022,2021
Market Capitalization,283,"1,307","1,261"
Market Cap Growth,-,3.64%,-
Enterprise Value,283,"1,307","1,260"
PE Ratio,37.25,27.99,-143.36
PB Ratio,-12.25,-30.77,-17.08
P/FCF Ratio,-322.86,-1299.21,-1328.12
P/OCF Ratio,-322.86,-1299.21,-1328.12
EV/EBITDA Ratio,8.50,27.99,-143.24
EV/EBIT Ratio,8.50,27.99,-143.24
EV/FCF Ratio,-323.26,-1299.09,-1326.94
Debt / Equity Ratio,-0.02,-,-
Debt / EBITDA Ratio,0.02,-,-
Debt / FCF Ratio,-0.58,-,-
Current Ratio,0.07,0.04,1.83
Return on Equity (ROE),-83.90%,-96.20%,24.80%
Return on Assets (ROA),4.20%,4.50%,-0.80%
Return on Capital (ROIC),4.30%,4.50%,-0.90%
Earnings Yield,11.78%,3.57%,-0.70%
FCF Yield,-0.31%,-0.08%,-0.08%
Buyback Yield / Dilution,47.55%,-8.34%,-
Total Shareholder Return,47.55%,-8.34%,-
