Year,Current,2022,2020,2019
Market Capitalization,50,167,338,-
Market Cap Growth,-,-50.57%,-,-
Enterprise Value,4,156,318,-20
PE Ratio,-0.12,-0.53,31.77,-
PS Ratio,0.52,1.69,4.85,-
PB Ratio,0.21,0.68,-0.54,-
P/FCF Ratio,1.28,-5.97,193.41,-
P/OCF Ratio,1.19,-6.51,67.16,-
EV/Sales Ratio,0.05,1.58,4.57,-0.38
EV/EBITDA Ratio,0.01,-0.52,21.49,-1.96
EV/EBIT Ratio,0.01,-0.44,27.75,-2.66
EV/FCF Ratio,0.11,-5.58,182.12,-1.27
Debt / Equity Ratio,0.17,0.17,-0.05,-0.35
Debt / EBITDA Ratio,-0.12,-0.14,2.23,3.01
Debt / FCF Ratio,1.01,-1.47,18.92,1.95
Current Ratio,-,-,2.64,-
Asset Turnover,0.15,0.13,0.74,-
Return on Equity (ROE),-99.50%,-77.40%,-3.00%,-
Return on Assets (ROA),-53.50%,-42.70%,11.30%,-
Return on Capital (ROIC),-281.60%,-247.80%,15.50%,-
Earnings Yield,-692.72%,-189.34%,3.15%,-
FCF Yield,78.38%,-16.76%,0.52%,-
Buyback Yield / Dilution,-0.38%,-209.05%,-,-
Total Shareholder Return,-0.38%,-209.05%,-,-
