Year,Current,2022,2021,2020,2019,2018
Market Capitalization,81,100,106,-,-,-
Market Cap Growth,-,-5.35%,-,-,-,-
Enterprise Value,-1,84,43,-53,-48,-33
PE Ratio,11.19,14.04,13.98,-,-,-
PS Ratio,2.61,3.19,3.43,-,-,-
PB Ratio,0.68,0.86,0.88,-,-,-
P/FCF Ratio,17.90,16.22,9.60,-,-,-
P/OCF Ratio,14.22,13.24,8.93,-,-,-
EV/Sales Ratio,0.41,2.67,1.39,-2.11,-3.36,-2.35
EV/EBITDA Ratio,1.19,8.68,4.07,-11.65,-39.73,-12.96
EV/EBIT Ratio,1.36,8.99,4.34,-13.74,-147.60,-20.09
EV/FCF Ratio,2.80,13.58,3.91,-55.14,-38.22,-28.74
Debt / Equity Ratio,0.46,0.09,0.40,1.55,-,0.10
Debt / EBITDA Ratio,5.21,1.04,4.63,27.30,-,2.95
Debt / FCF Ratio,12.23,1.62,4.44,129.19,-,6.55
Asset Turnover,0.04,0.04,0.04,0.04,0.05,-
Return on Equity (ROE),6.10%,6.10%,6.40%,3.90%,0.50%,-
Return on Assets (ROA),0.90%,0.90%,1.00%,0.50%,0.10%,-
Return on Capital (ROIC),1.20%,1.30%,1.40%,0.70%,0.10%,-
Earnings Yield,8.78%,7.12%,7.16%,-,-,-
FCF Yield,5.59%,6.16%,10.41%,-,-,-
Buyback Yield / Dilution,3.04%,2.98%,-0.52%,-,-,-
Total Shareholder Return,3.04%,2.98%,-0.52%,-,-,-
