Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,679,"1,087","1,257",952,"1,313","1,112","1,203","1,157",807,702,670,Upgrade
Market Cap Growth,-,-13.50%,32.05%,-27.50%,18.04%,-7.57%,4.04%,43.33%,14.91%,4.82%,12.48%,Upgrade
Enterprise Value,"1,854","2,157","1,307","1,361","2,163","1,943","2,163","2,133","1,715","1,766","1,390",Upgrade
PE Ratio,6.44,9.91,10.89,19.98,14.97,13.39,23.82,22.09,16.21,16.23,18.60,Upgrade
PS Ratio,2.14,3.40,3.96,4.27,4.80,4.15,5.09,5.36,3.90,3.50,3.70,Upgrade
PB Ratio,0.58,1.10,1.26,1.01,1.39,1.24,1.50,1.66,1.21,1.09,1.09,Upgrade
P/FCF Ratio,6.07,9.59,9.79,8.69,13.44,9.29,16.40,15.92,13.49,8.95,11.59,Upgrade
P/OCF Ratio,5.54,9.00,9.44,8.46,12.78,9.04,14.17,14.84,12.49,8.33,9.05,Upgrade
EV/Sales Ratio,5.84,6.75,4.12,6.11,7.91,7.25,9.15,9.88,8.28,8.80,7.68,Upgrade
EV/EBITDA Ratio,15.19,14.77,8.15,20.15,17.61,16.66,21.34,23.75,19.89,23.06,22.08,Upgrade
EV/EBIT Ratio,16.05,15.41,8.46,21.93,18.65,17.79,22.98,25.78,21.67,25.38,24.53,Upgrade
EV/FCF Ratio,16.57,19.02,10.18,12.42,22.13,16.24,29.48,29.36,28.66,22.50,24.04,Upgrade
Debt / Equity Ratio,1.43,1.46,0.38,0.90,0.98,1.02,1.27,1.50,1.47,1.76,1.32,Upgrade
Debt / EBITDA Ratio,13.61,9.95,2.36,12.50,7.55,7.89,10.07,11.62,11.40,14.71,12.90,Upgrade
Debt / FCF Ratio,14.85,12.81,2.94,7.71,9.49,7.69,13.91,14.37,16.43,14.35,14.05,Upgrade
Asset Turnover,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),9.10%,11.20%,11.90%,5.10%,9.50%,9.40%,6.50%,7.60%,7.60%,6.90%,5.90%,Upgrade
Return on Assets (ROA),1.00%,1.30%,1.40%,0.50%,1.10%,1.10%,0.80%,0.80%,0.90%,0.80%,0.70%,Upgrade
Return on Capital (ROIC),1.10%,1.50%,1.80%,0.70%,1.40%,1.30%,1.30%,1.20%,1.20%,1.10%,1.00%,Upgrade
Earnings Yield,13.63%,10.09%,9.18%,5.00%,6.68%,7.47%,4.20%,4.53%,6.17%,6.16%,5.38%,Upgrade
FCF Yield,16.48%,10.43%,10.22%,11.51%,7.44%,10.76%,6.10%,6.28%,7.41%,11.17%,8.63%,Upgrade
Dividend Yield,6.98%,4.66%,2.99%,3.82%,2.68%,2.84%,2.24%,2.19%,3.09%,3.39%,3.55%,Upgrade
Payout Ratio,55.90%,46.10%,32.40%,76.70%,40.00%,38.00%,52.90%,48.60%,50.00%,54.80%,65.40%,Upgrade
Buyback Yield / Dilution,-11.44%,1.14%,1.09%,0.94%,0.07%,-6.81%,-6.20%,-0.30%,-0.26%,-0.24%,-0.20%,Upgrade
Total Shareholder Return,-4.45%,5.80%,4.07%,4.77%,2.74%,-3.98%,-3.96%,1.90%,2.83%,3.15%,3.35%,Upgrade
