Year,Current,2022,2021,2020,2019,2018
Market Capitalization,"29,537","19,070","43,229",-,-,-
Market Cap Growth,-,-55.89%,-,-,-,-
Enterprise Value,"25,301","15,701","40,544","7,267","5,071","2,156"
PE Ratio,-125.49,-52.31,-262.01,-,-,-
PS Ratio,5.20,3.98,25.46,-,-,-
PB Ratio,5.53,3.90,9.73,-,-,-
P/FCF Ratio,38.31,25.93,-14.75,-,-,-
P/OCF Ratio,37.32,25.24,-14.78,-,-,-
EV/Sales Ratio,4.57,3.28,23.88,9.86,8.28,6.76
EV/EBITDA Ratio,579.80,-57.46,-265.89,-39.12,-40.82,-66.69
EV/EBIT Ratio,9992.48,-50.84,-238.75,-37.62,-39.22,-64.55
EV/FCF Ratio,33.66,21.35,-13.84,7.48,18.52,-190.46
Debt / Equity Ratio,0.16,0.16,0.00,21.94,10.32,8.54
Debt / EBITDA Ratio,18.67,-2.94,-0.14,-51.74,-50.85,-78.41
Debt / FCF Ratio,1.08,1.09,-0.01,9.89,23.08,-223.95
Asset Turnover,0.20,0.18,0.11,0.09,0.13,-
Return on Equity (ROE),-3.60%,-7.60%,-6.80%,-32.70%,-20.40%,-
Return on Assets (ROA),-0.60%,-1.40%,-1.10%,-2.00%,-1.90%,-
Return on Capital (ROIC),0.00%,-1.40%,-1.00%,-1.30%,-1.50%,-
Earnings Yield,-0.62%,-1.91%,-0.38%,-,-,-
FCF Yield,2.61%,3.86%,-6.78%,-,-,-
Buyback Yield / Dilution,-3.39%,-191.92%,-21.78%,-15.61%,-3.54%,-
Total Shareholder Return,-3.39%,-191.92%,-21.78%,-15.61%,-3.54%,-
