Year,Current,2022,2021,2020
Market Capitalization,251,244,-,-
Enterprise Value,250,243,0,0
PE Ratio,209.40,210.36,-,-
PB Ratio,-45.75,-45.75,-,-
P/FCF Ratio,-291.91,-291.91,-,-
P/OCF Ratio,-291.91,-291.91,-,-
EV/EBITDA Ratio,147.54,143.58,-6.67,-1339.37
EV/EBIT Ratio,147.54,143.58,-6.67,-1339.37
EV/FCF Ratio,-290.79,-290.79,-8.85,-
Debt / Equity Ratio,-,-,-10.31,12.80
Debt / EBITDA Ratio,-,-,-6.68,-1339.37
Debt / FCF Ratio,-,-,-8.86,-
Current Ratio,1.14,1.14,0.00,-
Return on Equity (ROE),-23.00%,-23.00%,675.30%,-2.00%
Return on Assets (ROA),0.70%,0.70%,-12.50%,-0.10%
Return on Capital (ROIC),1.00%,1.00%,-18.40%,-0.10%
Earnings Yield,0.46%,0.48%,-,-
FCF Yield,-0.33%,-0.34%,-,-
Buyback Yield / Dilution,-278.32%,-278.32%,-,-
Total Shareholder Return,-278.32%,-278.32%,-,-
