Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,127,47,164,284,391,392,440,495,661,579
Market Cap Growth,-,-71.59%,-42.32%,-27.37%,-0.06%,-10.95%,-11.11%,-25.15%,14.15%,-
Enterprise Value,-49,-81,-49,-33,238,278,450,441,411,414
PE Ratio,-0.72,-0.30,-2.19,30.48,13.67,14.42,-392.93,14.61,7.14,12.29
PS Ratio,0.19,0.07,0.26,0.48,0.77,0.82,1.08,1.13,1.67,2.48
PB Ratio,0.84,0.36,0.48,0.64,0.87,0.92,1.16,1.38,1.85,2.27
P/FCF Ratio,24.57,-1.00,2.77,1.68,3.41,4.16,61.89,6.08,4.54,3.09
P/OCF Ratio,6.51,-1.36,2.73,1.67,3.27,4.06,58.71,5.96,4.50,2.98
EV/Sales Ratio,-0.15,-0.12,-0.08,-0.06,0.46,0.58,1.11,1.00,1.04,1.77
EV/EBITDA Ratio,1.12,0.54,0.82,-1.80,3.96,3.23,29.85,6.71,2.71,5.52
EV/EBIT Ratio,1.03,0.51,0.72,-3.24,4.80,4.71,61.43,7.77,2.74,5.58
EV/FCF Ratio,-19.03,1.73,-0.83,-0.19,2.07,2.96,63.28,5.42,2.82,2.21
Debt / Equity Ratio,1.02,1.22,0.44,0.29,0.29,0.35,0.49,0.20,-,-
Debt / EBITDA Ratio,-1.76,-1.08,-2.55,7.06,2.16,1.73,12.24,1.11,-,-
Debt / FCF Ratio,29.88,-3.43,2.57,0.76,1.13,1.58,25.96,0.90,-,-
Asset Turnover,0.30,0.30,0.29,0.29,0.28,0.26,0.30,0.43,0.49,0.48
Return on Equity (ROE),-75.10%,-86.80%,-18.70%,2.10%,6.50%,6.80%,-0.30%,9.30%,28.70%,23.00%
Return on Assets (ROA),-4.80%,-7.00%,-3.50%,0.50%,1.50%,1.50%,-0.10%,3.30%,11.50%,9.70%
Return on Capital (ROIC),-4.70%,-7.90%,-4.00%,0.60%,3.30%,3.80%,0.60%,7.00%,24.70%,20.90%
Earnings Yield,-84.58%,-331.41%,-45.58%,3.28%,7.32%,6.94%,-0.25%,6.85%,14.00%,8.14%
FCF Yield,4.07%,-100.14%,36.06%,59.62%,29.30%,24.02%,1.62%,16.44%,22.05%,32.35%
Dividend Yield,1.21%,6.79%,4.07%,2.36%,1.79%,1.60%,1.46%,1.38%,0.23%,-
Payout Ratio,-1.40%,-2.00%,-8.90%,72.70%,24.50%,22.90%,-600.00%,20.20%,1.60%,0.00%
Buyback Yield / Dilution,4.37%,5.25%,0.66%,4.26%,-12.02%,2.62%,9.57%,2.28%,-17.47%,-78.37%
Total Shareholder Return,5.55%,12.04%,4.73%,6.62%,-10.23%,4.22%,11.03%,3.66%,-17.24%,-78.37%
